species_name,tip_label,family,clade,srr_accession,srx_accession,sex,sex_raw,tissue,dev_stage,spots,bases,platform,layout,sample_attrs
Anthonomus rubi,Anthonomus_rubi,Curculionidae,Cucujiformia,SRR34964352,SRX30083960,female,female,head and thorax,adult,75058723,22667734346,ILLUMINA,PAIRED,"biomaterial_provider=Michelle Franklin, Agriculture and Agri-Food Canada, Agassiz Research and Development Centre, Agassiz, British Columbia, Canada; biosamplemodel=Model organism or animal; cbp individual id=StrawberryBlossomW04; cbp sample id=CBP00208; collected_by=Michelle Franklin, Agriculture and Agri-Food Canada, Agassiz Research and Development Centre, Agassiz, British Columbia, Canada; collection_date=2022-09-15; common name=strawberry blossom weevil; dev_stage=adult; dissected by=Michelle Franklin, Agriculture and Agri-Food Canada, Agassiz Research and Development Centre, Agassiz, BC Canada; external sample id=A.rubi_female_4 | A.rubi_female_4a; geo_loc_name=Canada: Agassiz, British Columbia; identified by=Patrice Bouchard, Canadian National Collection of Insects, Arachnids, and Nematodes; Agriculture and Agri-Food Canada Ottawa Research and Development Centre, Central Experimental Farm, Ottawa, Ontario Canada; isolate=CBP00208; isolation_source=Agricultural fields, Himalayan blackberry hedge row; lab id=Ext499; lat_lon=49.244118 N 121.75568 W; mcgill sample id=CBP00208_MURNA01; sample derived from (biosample id)=SAMN50519007; sample_type=tissue sample; sampling method=bud collections; sex=female; store_cond=flash frozen tissue stored at -80C; tissue=head and thorax; tolid=icAntRubi10"
Carabus staehlini,Carabus_staehlini,Carabidae,Adephaga,ERR16043886,ERX15434682,female,female,,,81088818,24116241558,ILLUMINA,PAIRED,bio_material=NOT COLLECTED; broker name=COPO; collected_by=Shota Japarashvili; collecting institution=Ilia State University; collection date=2024-05-26; collector orcid id=0000-0002-9674-3719; gal=Genoscope; gal_sample_id=NOT APPLICABLE; geographic location (country and/or sea)=Georgia; geographic location (latitude)=42.56031; geographic location (longitude)=44.51248; geographic location (region and locality)=Mtskheta -Mtianeti| Stepantsminda | Kobi; habitat=Near Urban; identified_by=Shota Japarashvili; identifier_affiliation=Ilis State University; insdc center name=EarlhamInstitute; lifestage=adult; organism part=LEG; project name=ERGA; proxy biomaterial=NOT APPLICABLE; proxy voucher=NOT PROVIDED; sample collection method=Hand collection; sample coordinator=David Tarkhnishvili; sample coordinator affiliation=Ilis State University; sample coordinator orcid id=0000-0003-1479-9880; sample derived from=SAMEA116325342; sample name=671a407d3cb103bf7b2fc338; scientific_name=Carabus staehlini; sex=female; specimen_id=ERGA DT 9880 070; specimen_voucher=NOT PROVIDED; submitter id=671a407d3cb103bf7b2fc338; tolid=icCarStae1; voucher institution url=https://www.mncn.csic.es/en
Catharsius molossus,Catharsius_molossus,Scarabaeidae,Scarabaeiformia,SRR13921899,SRX10301363,male,male,Reproductive Tissues,,27068085,13534042500,ILLUMINA,PAIRED,biosamplemodel=Invertebrate; collection_date=2019-04-30; geo_loc_name=Singapore: Upper Peirce; isolate=C138; isolation_source=Reproductive Tissues; sex=male; tissue=Reproductive Tissues
Catharsius molossus,Catharsius_molossus,Scarabaeidae,Scarabaeiformia,SRR13921900,SRX10301362,male,male,Reproductive Tissues,,24670727,12335363500,ILLUMINA,PAIRED,biosamplemodel=Invertebrate; collection_date=2019-04-30; geo_loc_name=Singapore: Upper Peirce; isolate=C138; isolation_source=Reproductive Tissues; sex=male; tissue=Reproductive Tissues
Catharsius molossus,Catharsius_molossus,Scarabaeidae,Scarabaeiformia,SRR13921781,SRX10301245,male,male,Reproductive Tissues,,20629252,10314626000,ILLUMINA,PAIRED,biosamplemodel=Invertebrate; collection_date=2019-04-30; geo_loc_name=Singapore: Pulau Ubin; isolate=C126; isolation_source=Reproductive Tissues; sex=male; tissue=Reproductive Tissues
Catharsius molossus,Catharsius_molossus,Scarabaeidae,Scarabaeiformia,SRR13921782,SRX10301244,male,male,Reproductive Tissues,,27178102,13589051000,ILLUMINA,PAIRED,biosamplemodel=Invertebrate; collection_date=2019-04-30; geo_loc_name=Singapore: Pulau Ubin; isolate=C126; isolation_source=Reproductive Tissues; sex=male; tissue=Reproductive Tissues
Cedrorum azoricus,Cedrorum_azoricus,Carabidae,Adephaga,ERR15492860,ERX14896803,female,female,,,42363678,12621901761,ILLUMINA,PAIRED,"bio_material=NOT APPLICABLE; broker name=COPO; collected_by=Isabel Amorim do Rosário | Fernando Pereira; collecting institution=Azorean Biodiversity Group/cE3c, University of the Azores, Portugal; collection date=2024-02-21; collector orcid id=0000-0001-6847-3320; elevation=927; gal=Genoscope; gal_sample_id=ERGA IR 3320 11 Ca 2; geographic location (country and/or sea)=Portugal; geographic location (latitude)=38.746813; geographic location (longitude)=-27.320223; geographic location (region and locality)=Azores | Terceira | Lagoa do Pinheiro; habitat=native forest; identified_by=Paulo A.V. Borges; identifier_affiliation=Azorean Biodiversity Group/cE3c, University of the Azores, Portugal; insdc center name=EarlhamInstitute; lifestage=adult; organism part=WHOLE ORGANISM; project name=ERGA; proxy biomaterial=ZFMK-TIS-98393; proxy voucher=UAC<PRT>:DTP:0000474 | UAC<PRT>:DTP:0000476 | UAC<PRT>:DTP:0000477 | UAC<PRT>:DTP:0000478 | UAC<PRT>:DTP:0000479 |UAC<PRT>:DTP:0000480 | UAC<PRT>:DTP:0000481 | UAC<PRT>:DTP:0000482 | UAC<PRT>:DTP:0000483 | UAC<PRT>:DTP:0000484 | UAC<PRT>:DTP:0000485| UAC<PRT>:DTP:0000486 | UAC<PRT>:DTP:0000487; sample collection method=pitfall trap - specimens collected alive; sample coordinator=Isabel Amorim do Rosário; sample coordinator affiliation=Azorean Biodiversity Group/cE3c, University of the Azores, Portugal; sample coordinator orcid id=0000-0001-6847-3320; sample name=65f4653e2070669d1b50a76b; sample same as=SAMEA115418619; scientific_name=Cedrorum azoricus; sex=female; specimen_id=ERGA IR 3320 11; specimen_voucher=NOT PROVIDED; submitter id=65f4653e2070669d1b50a76b; tolid=icCedAzor2; voucher institution url=https://ror.org/04276xd64"
Chrysolina graminis,Chrysolina_graminis,Chrysomelidae,Cucujiformia,ERR12737292,ERX12111217,male,male,,,37484403,11320289706,ILLUMINA,PAIRED,barcoding center=NATURAL HISTORY MUSEUM; broker name=COPO; collected by=GEOFF OXFORD; collecting institution=UNIVERSITY OF YORK; collection date=2021-05-24; ena-first-public=2021-11-05T15:32:40Z; ena-last-update=2021-11-24T17:43:22Z; external id=SAMEA10800184; gal=Natural History Museum; gal_sample_id=NHMUK014444578; geographic location (country and/or sea)=United Kingdom; geographic location (latitude)=53.928; geographic location (longitude)=-1.075; geographic location (region and locality)=England |Yorkshire | Water Fulford Hall; habitat=NOT COLLECTED; identified_by=GEOFF OXFORD; identifier_affiliation=UNIVERSITY OF YORK; insdc center name=EarlhamInstitute; insdc first public=2021-11-05T15:32:40Z; insdc last update=2021-11-24T17:43:22Z; insdc status=public; lifestage=adult; organism part=**OTHER SOMATIC ANIMAL TISSUE**; project name=DTOL; sample derived from=SAMEA10800125; sample name=61675261f2051412042f65ba; scientific_name=Chrysolina graminis; sex=male; specimen id=NHMUK014444578; submitter id=61675261f2051412042f65ba; tolid=icChrGram3
Chrysopa pallens,Chrysopa_pallens,Chrysopidae,Neuroptera,SRR14025004,SRX10401616,unknown,,missing,,25649026,7694707800,ILLUMINA,PAIRED,biosamplemodel=Invertebrate; breed=missing; collection_date=2019-07; geo_loc_name=not applicable; host=not applicable; isolate=missing; lat_lon=40.028838 N 116.291593 E; tissue=missing
Chrysopa pallens,Chrysopa_pallens,Chrysopidae,Neuroptera,SRR14025005,SRX10401615,unknown,,missing,,22443505,6733051500,ILLUMINA,PAIRED,biosamplemodel=Invertebrate; breed=missing; collection_date=2019-07; geo_loc_name=not applicable; host=not applicable; isolate=missing; lat_lon=40.028838 N 116.291593 E; tissue=missing
