species_name,tip_label,family,clade,srr_accession,sex,tissue,tissue_norm,spots,layout,ena_url_r1,ena_url_r2,species_dir,est_gb,category
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897470,male,Adult,whole_body,26686479,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/000/SRR9897470/SRR9897470_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/000/SRR9897470/SRR9897470_2.fastq.gz,Abscondita_terminalis,2.2,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897472,male,Adult,whole_body,19883173,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/002/SRR9897472/SRR9897472_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/002/SRR9897472/SRR9897472_2.fastq.gz,Abscondita_terminalis,1.7,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897501,male,Adult,whole_body,19444696,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/001/SRR9897501/SRR9897501_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/001/SRR9897501/SRR9897501_2.fastq.gz,Abscondita_terminalis,1.6,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897469,female,Adult,whole_body,23940563,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/009/SRR9897469/SRR9897469_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/009/SRR9897469/SRR9897469_2.fastq.gz,Abscondita_terminalis,2.0,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897473,female,Adult,whole_body,19792559,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/003/SRR9897473/SRR9897473_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/003/SRR9897473/SRR9897473_2.fastq.gz,Abscondita_terminalis,1.7,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897475,female,Adult,whole_body,19685688,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/005/SRR9897475/SRR9897475_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/005/SRR9897475/SRR9897475_2.fastq.gz,Abscondita_terminalis,1.7,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881593,male,abdomen,abdomen,21546234,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7881593/SRR7881593_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7881593/SRR7881593_2.fastq.gz,Acanthoscelides_obtectus,1.8,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881630,male,abdomen,abdomen,21442554,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/000/SRR7881630/SRR7881630_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/000/SRR7881630/SRR7881630_2.fastq.gz,Acanthoscelides_obtectus,1.8,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881595,male,abdomen,abdomen,16350773,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/005/SRR7881595/SRR7881595_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/005/SRR7881595/SRR7881595_2.fastq.gz,Acanthoscelides_obtectus,1.4,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881591,female,abdomen,abdomen,22762917,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/001/SRR7881591/SRR7881591_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/001/SRR7881591/SRR7881591_2.fastq.gz,Acanthoscelides_obtectus,1.9,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881623,female,abdomen,abdomen,22632129,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7881623/SRR7881623_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7881623/SRR7881623_2.fastq.gz,Acanthoscelides_obtectus,1.9,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881636,female,abdomen,abdomen,17602037,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/006/SRR7881636/SRR7881636_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/006/SRR7881636/SRR7881636_2.fastq.gz,Acanthoscelides_obtectus,1.5,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721316,male,Male antennae,antenna,31697394,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/016/SRR12721316/SRR12721316_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/016/SRR12721316/SRR12721316_2.fastq.gz,Aethina_tumida,2.7,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721315,male,Male antennae,antenna,30592242,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/015/SRR12721315/SRR12721315_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/015/SRR12721315/SRR12721315_2.fastq.gz,Aethina_tumida,2.6,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721314,male,Male antennae,antenna,28426258,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/014/SRR12721314/SRR12721314_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/014/SRR12721314/SRR12721314_2.fastq.gz,Aethina_tumida,2.4,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721317,female,Female antennae,antenna,33553299,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/017/SRR12721317/SRR12721317_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/017/SRR12721317/SRR12721317_2.fastq.gz,Aethina_tumida,2.8,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721320,female,Female antennae,antenna,30479876,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/020/SRR12721320/SRR12721320_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/020/SRR12721320/SRR12721320_2.fastq.gz,Aethina_tumida,2.6,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721321,female,Female antennae,antenna,27217076,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/021/SRR12721321/SRR12721321_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/021/SRR12721321/SRR12721321_2.fastq.gz,Aethina_tumida,2.3,both_sex
