species_name,tip_label,family,clade,srr_accession,srx_accession,sex,sex_raw,tissue,dev_stage,spots,bases,platform,layout,sample_attrs
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897453,SRX6649365,unknown,,Adult,,16994858,5098457400,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897467,SRX6649351,unknown,,Adult,,20098107,6029432100,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897468,SRX6649350,unknown,,Adult,,27618531,8285559300,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897469,SRX6649349,female,female (inferred),Adult,,23940563,7182168900,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897470,SRX6649348,male,male (inferred),Adult,,26686479,8005943700,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897471,SRX6649347,female,female (inferred),Adult,,19033478,5710043400,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897472,SRX6649346,male,male (inferred),Adult,,19883173,5964951900,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897473,SRX6649345,female,female (inferred),Adult,,19792559,5937767700,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897474,SRX6649344,female,female (inferred),Adult,,18714895,5614468500,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897475,SRX6649343,female,female (inferred),Adult,,19685688,5905706400,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897476,SRX6649342,male,male (inferred),Adult,,18029075,5408722500,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897501,SRX6649317,male,male (inferred),Adult,,19444696,5833408800,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897502,SRX6649316,male,male (inferred),Adult,,18796245,5638873500,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897504,SRX6649314,unknown,,Adult,,20179988,6053996400,ILLUMINA,PAIRED,"biosamplemodel=Invertebrate; breed=missing; collection_date=2015/2018; geo_loc_name=China: Menglun, Xishuanbana, Yunnan; host=missing; isolate=Ate-2015; tissue=Adult"
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR22762569,SRX18723103,female,female,whole body,not collected,96610494,14491574100,DNBSEQ,PAIRED,age=not collected; biosamplemodel=Model organism or animal; breed=not collected; cultivar=not collected; dev_stage=not collected; ecotype=not collected; isolate=not collected; sex=female; strain=Yunnan Qujing; tissue=whole body
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR22762570,SRX18723102,female,female,whole body,not collected,93275900,13991385000,DNBSEQ,PAIRED,age=not collected; biosamplemodel=Model organism or animal; breed=not collected; cultivar=not collected; dev_stage=not collected; ecotype=not collected; isolate=not collected; sex=female; strain=Yunnan Qujing; tissue=whole body
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR22762571,SRX18723101,male,male,whole body,not collected,75581502,11337225300,DNBSEQ,PAIRED,"age=not collected; biosamplemodel=Model organism or animal; breed=not collected; collection_date=missing; cultivar=not collected; dev_stage=not collected; ecotype=not collected; geo_loc_name=China: Yunnan, Qujing; isolate=JC-2024B; sex=male; tissue=whole body"
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR22762572,SRX18723100,male,male,whole body,not collected,102921010,15438151500,DNBSEQ,PAIRED,"age=not collected; biosamplemodel=Model organism or animal; breed=not collected; collection_date=missing; cultivar=not collected; dev_stage=not collected; ecotype=not collected; geo_loc_name=China: Yunnan, Qujing; isolate=JC-2024B; sex=male; tissue=whole body"
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR22762573,SRX18723099,male,male,whole body,not collected,108988786,16348317900,DNBSEQ,PAIRED,"age=not collected; biosamplemodel=Model organism or animal; breed=not collected; collection_date=missing; cultivar=not collected; dev_stage=not collected; ecotype=not collected; geo_loc_name=China: Yunnan, Qujing; isolate=JC-2024B; sex=male; tissue=whole body"
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR22762577,SRX18723095,female,female,whole body,not collected,89924788,13488718200,DNBSEQ,PAIRED,age=not collected; biosamplemodel=Model organism or animal; breed=not collected; cultivar=not collected; dev_stage=not collected; ecotype=not collected; isolate=not collected; sex=female; strain=Yunnan Qujing; tissue=whole body
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR24951591,SRX20709656,unknown,,whole insect,,72296586,21833568972,ILLUMINA,PAIRED,biosamplemodel=Invertebrate; collection_date=2017-09-15; geo_loc_name=Germany; isolate=wild type individual; isolation_source=laboratory culture; tissue=whole insect
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR13089449,SRX9535393,unknown,,Whole body,,33818865,10145659500,ILLUMINA,PAIRED,biosamplemodel=Invertebrate; collection_date=2020-01-01; geo_loc_name=China:Nanning; isolate=Whole body; isolation_source=adult; tissue=Whole body
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881587,SRX4720287,male,male,Head+thorax,adult,15452467,3894021684,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=EmTh4 mix of adtuls - Biological replicate 4 - Technical replicate 2; sex=male; tissue=Head+thorax
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881588,SRX4720286,male,male,abdomen,adult,7603230,1916013960,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=LmAb4 mix of adtuls - Biological replicate 4 - Technical replicate 2; sex=male; tissue=abdomen
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881589,SRX4720285,male,male,Head+thorax,adult,10934418,2755473336,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=EmTh3 mix of adtuls - Biological replicate 3 - Technical replicate 2; sex=male; tissue=Head+thorax
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881590,SRX4720284,female,female,Head+thorax,adult,4636917,1168503084,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=EfTh1 mix of adtuls - Biological replicate 1 - Technical replicate 1; sex=female; tissue=Head+thorax
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881591,SRX4720283,female,female,abdomen,adult,22762917,5736255084,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=EfAb1 mix of adtuls - Biological replicate 1 - Technical replicate 2; sex=female; tissue=abdomen
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881592,SRX4720282,male,male,Head+thorax,adult,7589169,1912470588,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=LmTh4 mix of adtuls - Biological replicate 4 - Technical replicate 1; sex=male; tissue=Head+thorax
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881593,SRX4720281,male,male,abdomen,adult,21546234,5429650968,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=EmAb2 mix of adtuls - Biological replicate 2 - Technical replicate 2; sex=male; tissue=abdomen
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881594,SRX4720280,female,female,Head+thorax,adult,4655523,1173191796,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=EfTh1 mix of adtuls - Biological replicate 1 - Technical replicate 2; sex=female; tissue=Head+thorax
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881595,SRX4720279,male,male,abdomen,adult,16350773,4120394796,ILLUMINA,PAIRED,biosamplemodel=Model organism or animal; dev_stage=adult; isolate=EmAb1 mix of adtuls - Biological replicate 1 - Technical replicate 2; sex=male; tissue=abdomen
