species_name,tip_label,family,clade,total_rnaseq_runs,male_runs,female_runs,unknown_sex_runs,has_male,has_female,has_both_sexes,tissues,platforms,example_accessions
Aromia moschata,Aromia_moschata,Cerambycidae,Cucujiformia,2,0,0,2,False,False,False,midgut,ILLUMINA,ERX14546142; SRX7845201
Aspidapion aeneum,Aspidapion_aeneum,Apionidae,Cucujiformia,0,0,0,0,False,False,False,,,
Attagenus pellio,Attagenus_pellio,Dermestidae,Cucujiformia,0,0,0,0,False,False,False,,,
Aulacophora lewisii,Aulacophora_lewisii,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Barypeithes pellucidus,Barypeithes_pellucidus,Curculionidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX11656572
Bathyscidius tristiculus,Bathyscidius_tristiculus,Leiodidae,Staphyliniformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13270905
Batocera lineolata,Batocera_lineolata,Cerambycidae,Cucujiformia,5,0,0,5,False,False,False,mesosma; metasoma; whole body,ILLUMINA,SRX30378087; SRX10459902; SRX10459901; SRX10459900; SRX10459899
Betulapion simile,Betulapion_simile,Apionidae,Cucujiformia,0,0,0,0,False,False,False,,,
Biphyllus lunatus,Biphyllus_lunatus,Biphyllidae,Cucujiformia,0,0,0,0,False,False,False,,,
Bitoma crenata,Bitoma_crenata,Zopheridae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX11751060
Blaps rhynchoptera,Blaps_rhynchoptera,Tenebrionidae,Cucujiformia,2,0,0,2,False,False,False,"muscle and defensive gland tissue; thoracic muscles, foot",ILLUMINA; OXFORD_NANOPORE,SRX23959370; SRX12383451
Brachynemurus nebulosus,Brachynemurus_nebulosus,Myrmeleontidae,Neuroptera,0,0,0,0,False,False,False,,,
Brachypterus glaber,Brachypterus_glaber,Kateretidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13400222
Brassicogethes aeneus,Brassicogethes_aeneus,Nitidulidae,Cucujiformia,5,0,0,5,False,False,False,,BGISEQ; ILLUMINA; LS454,SRX14206037; ERX233972; ERX233971; ERX233970; SRX366924
Brontispa longissima,Brontispa_longissima,Chrysomelidae,Cucujiformia,12,3,2,7,True,True,True,antenna; egg; mixed sample; terminal abdomen; whole body,ILLUMINA,SRX23886742; SRX23886741; SRX23886740; SRX23886739; SRX23886738
Bruchidius siliquastri,Bruchidius_siliquastri,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Bruchidius varius,Bruchidius_varius,Chrysomelidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13780069
Bruchidius villosus,Bruchidius_villosus,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Calathus fuscipes,Calathus_fuscipes,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Calathus melanocephalus,Calathus_melanocephalus,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Callosobruchus maculatus,Callosobruchus_maculatus,Chrysomelidae,Cucujiformia,349,27,95,78,True,True,True,abdomen; head; whole body,ILLUMINA,SRX32082343; SRX32082342; SRX32082341; SRX32082340; SRX32082339
Calodromius spilotus,Calodromius_spilotus,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Calosoma granatense,Calosoma_granatense,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Calosoma tepidum,Calosoma_tepidum,Carabidae,Adephaga,1,0,0,1,False,False,False,whole body,PACBIO_SMRT,SRX26093716
Calosoma wilkesii,Calosoma_wilkesii,Carabidae,Adephaga,1,0,0,1,False,False,False,whole body,PACBIO_SMRT,SRX26093713
Calvia quattuordecimguttata,Calvia_quattuordecimguttata,Coccinellidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12201667
Cantharis decipiens,Cantharis_decipiens,Cantharidae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13400261
Cantharis flavilabris,Cantharis_flavilabris,Cantharidae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12016758
Cantharis lateralis,Cantharis_lateralis,Cantharidae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX11656507
Cantharis nigra,Cantharis_nigra,Cantharidae,Elateriformia,0,0,0,0,False,False,False,,,
Cantharis pallida,Cantharis_pallida,Cantharidae,Elateriformia,0,0,0,0,False,False,False,,,
Cantharis rufa,Cantharis_rufa,Cantharidae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12016751
Cantharis rustica,Cantharis_rustica,Cantharidae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX8976893
Canthon chalcites,Canthon_chalcites,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Carabus banonii,Carabus_banonii,Carabidae,Adephaga,2,0,0,2,False,False,False,,ILLUMINA,ERX14169061; ERX14169060
Carabus blaptoides fortunei,Carabus_blaptoides_fortunei,Carabidae,Adephaga,20,5,5,10,True,True,True,head; legs; thorax; whole body,ILLUMINA,DRX404661; DRX404660; DRX404657; DRX404656; DRX404653
Carabus esakii,Carabus_esakii,Carabidae,Adephaga,12,6,6,0,True,True,True,,ILLUMINA,DRX334646; DRX334645; DRX334644; DRX334643; DRX334642
Carabus nemoralis,Carabus_nemoralis,Carabidae,Adephaga,1,0,0,1,False,False,False,,ILLUMINA,ERX14197806
Carabus problematicus,Carabus_problematicus,Carabidae,Adephaga,2,0,0,2,False,False,False,,ILLUMINA,ERX11418662; ERX11235640
Carabus staehlini,Carabus_staehlini,Carabidae,Adephaga,1,0,1,0,False,True,False,,ILLUMINA,ERX15434682
Cartodere bifasciata,Cartodere_bifasciata,Latridiidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12465335
Catharsius molossus,Catharsius_molossus,Scarabaeidae,Scarabaeiformia,4,4,0,0,True,False,False,reproductive tissues,ILLUMINA,SRX10301363; SRX10301362; SRX10301245; SRX10301244
Catops nigricans,Catops_nigricans,Leiodidae,Staphyliniformia,0,0,0,0,False,False,False,,,
Cedrorum azoricus,Cedrorum_azoricus,Carabidae,Adephaga,1,0,1,0,False,True,False,,ILLUMINA,ERX14896803
Cetonia aurata,Cetonia_aurata,Scarabaeidae,Scarabaeiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX11043099
Ceutorhynchus assimilis,Ceutorhynchus_assimilis,Curculionidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX6562755
Ceutorhynchus obstrictus,Ceutorhynchus_obstrictus,Curculionidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12864171
Chaetocnema hortensis,Chaetocnema_hortensis,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Chrysina gloriosa,Chrysina_gloriosa,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Chrysolina americana,Chrysolina_americana,Chrysomelidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13780065
Chrysolina graminis,Chrysolina_graminis,Chrysomelidae,Cucujiformia,1,1,0,0,True,False,False,,ILLUMINA,ERX12111217
Chrysolina haemoptera,Chrysolina_haemoptera,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Chrysolina herbacea,Chrysolina_herbacea,Chrysomelidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX16295524
Chrysolina hyperici,Chrysolina_hyperici,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Chrysolina oricalcia,Chrysolina_oricalcia,Chrysomelidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12016746
Chrysomela aeneicollis,Chrysomela_aeneicollis,Chrysomelidae,Cucujiformia,127,67,56,4,True,True,True,head; larva abdomen; ovary; testes; whole body,ILLUMINA,SRX24891442; SRX24891441; SRX24891440; SRX24891439; SRX20387307
Chrysomela populi,Chrysomela_populi,Chrysomelidae,Cucujiformia,17,0,0,17,False,False,False,fatbody; gland; gut; malpighian tubules,ILLUMINA,SRX512037; SRX512036; SRX512035; SRX512034; SRX391636
Chrysomela saliceti,Chrysomela_saliceti,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Chrysopa pallens,Chrysopa_pallens,Chrysopidae,Neuroptera,14,0,1,13,False,True,False,missing; whole body,ILLUMINA,SRX10401616; SRX10401615; SRX10401614; SRX10401613; SRX10401612
Chrysoperla carnea,Chrysoperla_carnea,Chrysopidae,Neuroptera,10,0,0,10,False,False,False,body; head; head+body; rest of body w/o gut and head; whole gut,ILLUMINA,ERX12545881; ERX12545880; ERX12545882; ERX11698122; SRX6750276
Chrysoperla zastrowi sillemi,Chrysoperla_zastrowi_sillemi,Chrysopidae,Neuroptera,4,0,0,4,False,False,False,3rd instar larvae; whole insect,ILLUMINA,SRX1879300; SRX1879299; SRX1879298; SRX1879297
Cis bilamellatus,Cis_bilamellatus,Ciidae,Cucujiformia,0,0,0,0,False,False,False,,,
Clivina fossor,Clivina_fossor,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Coccidula rufa,Coccidula_rufa,Coccinellidae,Cucujiformia,0,0,0,0,False,False,False,,,
Coccinella magnifica,Coccinella_magnifica,Coccinellidae,Cucujiformia,0,0,0,0,False,False,False,,,
Coccinella septempunctata,Coccinella_septempunctata,Coccinellidae,Cucujiformia,129,18,60,51,True,True,True,4th instar larva; abdomen; adult; antenna; brain; fat-body; fatbody; female adult; gut; head,BGISEQ; DNBSEQ; ILLUMINA,SRX31465765; SRX31465764; SRX31465763; SRX31465762; SRX31465761
Coccinella transversoguttata,Coccinella_transversoguttata,Coccinellidae,Cucujiformia,6,1,1,4,True,True,True,missing; whole insect,ILLUMINA; PACBIO_SMRT,SRX31417782; SRX30251055; SRX7441135; SRX7441134; SRX7441129
Coelostoma orbiculare,Coelostoma_orbiculare,Hydrophilidae,Staphyliniformia,0,0,0,0,False,False,False,,,
Colydium elongatum,Colydium_elongatum,Zopheridae,Cucujiformia,1,0,0,1,False,False,False,whole body,ILLUMINA,SRX18287593
Conwentzia psociformis,Conwentzia_psociformis,Coniopterygidae,Neuroptera,0,0,0,0,False,False,False,,,
Crepidodera aurata,Crepidodera_aurata,Chrysomelidae,Cucujiformia,2,0,0,2,False,False,False,whole insect,ILLUMINA,ERX13500828; SRX20709663
Crepidodera aurea,Crepidodera_aurea,Chrysomelidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12138220
Crepidodera fulvicornis,Crepidodera_fulvicornis,Chrysomelidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13780104
Crioceris asparagi,Crioceris_asparagi,Chrysomelidae,Cucujiformia,2,0,0,2,False,False,False,whole insect,ILLUMINA,ERX13363598; SRX20709672
Crudosilis ruficollis,Crudosilis_ruficollis,Cantharidae,Elateriformia,0,0,0,0,False,False,False,,,
Cryptocephalus moraei,Cryptocephalus_moraei,Chrysomelidae,Cucujiformia,2,0,0,2,False,False,False,whole insect,ILLUMINA,ERX11656476; SRX20709643
Cryptocephalus primarius,Cryptocephalus_primarius,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Cryptocephalus pusillus,Cryptocephalus_pusillus,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Cryptolaemus montrouzieri,Cryptolaemus_montrouzieri,Coccinellidae,Cucujiformia,116,17,40,59,True,True,True,4 instar larva whole body; abdomen; antenna; gut; head; leg; thorax; total body; whole body; whole individual,ILLUMINA,SRX28434087; SRX28434086; SRX28434085; SRX28434084; SRX28434083
Cryptophagus acutangulus,Cryptophagus_acutangulus,Cryptophagidae,Cucujiformia,0,0,0,0,False,False,False,,,
Cryptorhynchus lapathi,Cryptorhynchus_lapathi,Curculionidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX14197811
Ctenicera cuprea,Ctenicera_cuprea,Elateridae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX10931485
Curculio caryae,Curculio_caryae,Curculionidae,Cucujiformia,0,0,0,0,False,False,False,,,
Curculio glandium,Curculio_glandium,Curculionidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13168037
Cylas formicarius,Cylas_formicarius,Brentidae,Cucujiformia,4,1,1,2,True,True,True,female antennae; male antennae; whole body,ILLUMINA,SRX10726264; SRX2441545; SRX2441544; SRX1508049
Cynaeus angustus,Cynaeus_angustus,Tenebrionidae,Cucujiformia,0,0,0,0,False,False,False,,,
Dailognatha quadricollis,Dailognatha_quadricollis,Tenebrionidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12725796
Dalopius marginatus,Dalopius_marginatus,Elateridae,Elateriformia,0,0,0,0,False,False,False,,,
Dalotia coriaria,Dalotia_coriaria,Staphylinidae,Staphyliniformia,56,51,3,2,True,True,True,abdominal segment 6; abdominal segment 7; abdominal_segment_6; abdominal_segment_7; antenna; bezoquinone_cells_d1; head; larva; pupa; solvent_cells_d2,ILLUMINA,SRX19638833; SRX19638832; SRX19638831; SRX19638816; SRX19638815
Dascillus cervinus,Dascillus_cervinus,Dascillidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX11043092
Dastarcus helophoroides,Dastarcus_helophoroides,Bothrideridae,Cucujiformia,37,9,15,13,True,True,True,whole body; whole female pupae; whole insect,ILLUMINA,SRX30261740; SRX30261739; SRX30261738; SRX30261737; SRX30261736
Dendarus foraminosus,Dendarus_foraminosus,Tenebrionidae,Cucujiformia,1,1,0,0,True,False,False,,ILLUMINA,ERX12733285
Dendroctonus frontalis,Dendroctonus_frontalis,Curculionidae,Cucujiformia,16,8,6,2,True,True,True,whole organism,ILLUMINA,SRX24311723; SRX24311722; SRX24311721; SRX24311720; SRX24311719
Dendroctonus ponderosae,Dendroctonus_ponderosae,Curculionidae,Cucujiformia,112,38,58,16,True,True,True,anterior midgut; ehad; fat body; full body; head; larval; midgut/fat body; ovaries; testes; whole insect,ILLUMINA,SRX9162752; SRX9162751; SRX9162750; SRX9162749; SRX9162748
Dendroctonus valens,Dendroctonus_valens,Curculionidae,Cucujiformia,38,0,12,26,False,True,False,gut; insect; whole adult; whole larva,ILLUMINA,SRX24373771; SRX24373770; SRX24373769; SRX24373768; SRX24373767
Denticollis linearis,Denticollis_linearis,Elateridae,Elateriformia,0,0,0,0,False,False,False,,,
Diabrotica balteata,Diabrotica_balteata,Chrysomelidae,Cucujiformia,2,0,0,2,False,False,False,,PACBIO_SMRT,ERX6562194; ERX6562193
Diabrotica undecimpunctata,Diabrotica_undecimpunctata,Chrysomelidae,Cucujiformia,65,4,19,42,True,True,True,whole body; whole larvae; whole organism,ILLUMINA,SRX27727607; SRX27727606; SRX27727605; SRX27727604; SRX27727603
Diabrotica virgifera virgifera,Diabrotica_virgifera_virgifera,Chrysomelidae,Cucujiformia,202,21,72,107,True,True,True,larva; midgut; missing; whole; whole body; whole insect; whole larva; whole organism,ILLUMINA; LS454; PACBIO_SMRT,SRX15211806; SRX15211805; SRX15211804; SRX15211803; SRX15211802
Diaperis boleti,Diaperis_boleti,Tenebrionidae,Cucujiformia,1,0,0,1,False,False,False,whole body,ILLUMINA,SRX18287599
Dicheirus dilatatus,Dicheirus_dilatatus,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Digitonthophagus gazella,Digitonthophagus_gazella,Scarabaeidae,Scarabaeiformia,36,30,6,0,True,True,True,epidermis; foretibia; hindtibia,ILLUMINA,SRX10475355; SRX10475354; SRX10475353; SRX10475352; SRX10475351
Diorhabda carinata,Diorhabda_carinata,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Diorhabda carinulata,Diorhabda_carinulata,Chrysomelidae,Cucujiformia,18,12,6,0,True,True,True,abdomen; head; thorax,ILLUMINA; PACBIO_SMRT,SRX16447046; SRX16447045; SRX16447044; SRX16388695; SRX16388694
Diorhabda elongata,Diorhabda_elongata,Chrysomelidae,Cucujiformia,0,0,0,0,False,False,False,,,
Diorhabda sublineata,Diorhabda_sublineata,Chrysomelidae,Cucujiformia,6,0,6,0,False,True,False,abdomen; head; thorax,ILLUMINA; PACBIO_SMRT,SRX16441319; SRX16441318; SRX16441317; SRX16396138; SRX16396137
Diplocoelus fagi,Diplocoelus_fagi,Biphyllidae,Cucujiformia,0,0,0,0,False,False,False,,,
Diploeciton nevermanni,Diploeciton_nevermanni,Staphylinidae,Staphyliniformia,0,0,0,0,False,False,False,,,
Distenia gracilis,Distenia_gracilis,Cerambycidae,Cucujiformia,1,0,1,0,False,True,False,whole body,ILLUMINA,SRX31144365
Donacia provostii,Donacia_provostii,Chrysomelidae,Cucujiformia,3,0,0,3,False,False,False,119.62 e 33.32 n; 119.62 e 33.33 n; 119.62 e 33.34 n,ILLUMINA,SRX9775616; SRX9775615; SRX9775614
Dorcus hopei,Dorcus_hopei,Lucanidae,Scarabaeiformia,17,1,0,16,True,False,False,head muscle; wing,ILLUMINA,SRX20589142; SRX11392445; SRX11392444; SRX11392443; SRX11392442
Dorcus parallelipipedus,Dorcus_parallelipipedus,Lucanidae,Scarabaeiformia,2,0,0,2,False,False,False,muscle,ILLUMINA,ERX13400214; SRX19356012
Dorysthenes granulosus,Dorysthenes_granulosus,Cerambycidae,Cucujiformia,1,0,0,1,False,False,False,whole body,ILLUMINA,SRX30401816
Drilus flavescens,Drilus_flavescens,Elateridae,Elateriformia,0,0,0,0,False,False,False,,,
Dromius quadrimaculatus,Dromius_quadrimaculatus,Carabidae,Adephaga,1,0,0,1,False,False,False,,ILLUMINA,ERX13400228
Drusilla canaliculata,Drusilla_canaliculata,Staphylinidae,Staphyliniformia,4,2,2,0,True,True,True,body without head; head,ILLUMINA,SRX12280923; SRX12280922; SRX12280921; SRX12280920
Dynastes grantii,Dynastes_grantii,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Dynastes hercules hercules,Dynastes_hercules_hercules,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Dynastes hercules paschoali,Dynastes_hercules_paschoali,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Dynastes hercules reidi,Dynastes_hercules_reidi,Scarabaeidae,Scarabaeiformia,1,1,0,0,True,False,False,"brain, antenna, testis, prothorax, thorax tissues",ILLUMINA,SRX28844776
Dynastes hercules septentrionalis,Dynastes_hercules_septentrionalis,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Dynastes hyllus,Dynastes_hyllus,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Dynastes maya,Dynastes_maya,Scarabaeidae,Scarabaeiformia,5,5,0,0,True,False,False,musscle,ILLUMINA,SRX17216229; SRX17216228; SRX17216227; SRX17216226; SRX17216225
Dynastes tityus,Dynastes_tityus,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Eledona agricola,Eledona_agricola,Tenebrionidae,Cucujiformia,2,0,0,2,False,False,False,whole body,ILLUMINA,ERX11787372; SRX18287604
Elmis aenea,Elmis_aenea,Elmidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12138218
Endomychus armeniacus,Endomychus_armeniacus,Endomychidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX15434685
