species_name,tip_label,family,clade,total_rnaseq_runs,male_runs,female_runs,unknown_sex_runs,has_male,has_female,has_both_sexes,tissues,platforms,example_accessions
Abax parallelepipedus,Abax_parallelepipedus,Carabidae,Adephaga,1,0,0,1,False,False,False,,ILLUMINA,ERX11698129
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,14,5,5,4,True,True,True,adult,ILLUMINA,SRX6649365; SRX6649351; SRX6649350; SRX6649349; SRX6649348
Acanthacorydalis orientalis,Acanthacorydalis_orientalis,Corydalidae,Megaloptera,1,0,0,1,False,False,False,,ILLUMINA,SRX21957606
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,72,35,35,2,True,True,True,abdomen; head+thorax; whole body; whole insect,DNBSEQ; ILLUMINA,SRX18723103; SRX18723102; SRX18723101; SRX18723100; SRX18723099
Actenicerus siaelandicus,Actenicerus_siaelandicus,Elateridae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX14197810
Acupalpus dubius,Acupalpus_dubius,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Acupalpus parvulus,Acupalpus_parvulus,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Adalia bipunctata,Adalia_bipunctata,Coccinellidae,Cucujiformia,19,0,0,19,False,False,False,whole body,ILLUMINA,ERX14954923; ERX14954921; ERX14954924; ERX14954918; ERX14954917
Adalia decempunctata,Adalia_decempunctata,Coccinellidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12016762
Adelopsella bosnica,Adelopsella_bosnica,Leiodidae,Staphyliniformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13270900
Aegialia arenaria,Aegialia_arenaria,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,61,6,13,42,True,True,True,eggs and neonate larvae; female antennae; female forelegs; male antennae; male forelegs; pool of half beetle; various; whole bodies; whole body; whole individual,DNBSEQ; ILLUMINA,SRX28328202; SRX27748862; SRX27748861; SRX27748860; SRX27748859
Agelastica alni,Agelastica_alni,Chrysomelidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX10349574
Agonum fuliginosum,Agonum_fuliginosum,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Agonum gracile,Agonum_gracile,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Agonum viduum,Agonum_viduum,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Agrilus biguttatus,Agrilus_biguttatus,Buprestidae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX14546113
Agrilus cyanescens,Agrilus_cyanescens,Buprestidae,Elateriformia,0,0,0,0,False,False,False,,,
Agrilus mali,Agrilus_mali,Buprestidae,Elateriformia,1,0,0,1,False,False,False,whole larva,PACBIO_SMRT,SRX29868159
Agrilus planipennis,Agrilus_planipennis,Buprestidae,Elateriformia,28,1,8,19,True,True,True,entire body; fat body; head; midgut; whole organism,ILLUMINA; LS454,SRX7914170; SRX7914169; SRX7914168; SRX7914167; SRX7914166
Agriotes ferrugineipennis,Agriotes_ferrugineipennis,Elateridae,Elateriformia,1,0,0,1,False,False,False,head,ILLUMINA,SRX28393428
Agriotes lineatus,Agriotes_lineatus,Elateridae,Elateriformia,2,0,0,2,False,False,False,whole organism,ILLUMINA,SRX27568126; ERX9217790
Agriotes mancus,Agriotes_mancus,Elateridae,Elateriformia,1,0,0,1,False,False,False,head,ILLUMINA,SRX28393446
Agriotes obscurus,Agriotes_obscurus,Elateridae,Elateriformia,1,0,0,1,False,False,False,whole organism,ILLUMINA,SRX27568133
Agriotes sputator,Agriotes_sputator,Elateridae,Elateriformia,1,0,0,1,False,False,False,head,ILLUMINA,SRX28393435
Agrypnus murinus,Agrypnus_murinus,Elateridae,Elateriformia,1,0,0,1,False,False,False,,ILLUMINA,ERX11656466
Aleochara curtula,Aleochara_curtula,Staphylinidae,Staphyliniformia,0,0,0,0,False,False,False,,,
Altica lythri,Altica_lythri,Chrysomelidae,Cucujiformia,14,7,7,0,True,True,True,whole beetle,ILLUMINA,SRX25348857; SRX25348856; SRX25348855; SRX25348854; SRX25348853
Amara aenea,Amara_aenea,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Amara convexiuscula,Amara_convexiuscula,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Amara familiaris,Amara_familiaris,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Amara ovata,Amara_ovata,Carabidae,Adephaga,0,0,0,0,False,False,False,,,
Ampedus sanguinolentus,Ampedus_sanguinolentus,Elateridae,Elateriformia,0,0,0,0,False,False,False,,,
Amphimallon solstitiale,Amphimallon_solstitiale,Scarabaeidae,Scarabaeiformia,2,0,0,2,False,False,False,muscle,ILLUMINA,ERX12234887; SRX19355997
Anaglyptus mysticus,Anaglyptus_mysticus,Cerambycidae,Cucujiformia,0,0,0,0,False,False,False,,,
Anaspis frontalis,Anaspis_frontalis,Scraptiidae,Cucujiformia,0,0,0,0,False,False,False,,,
Anaspis maculata,Anaspis_maculata,Scraptiidae,Cucujiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12864169
Anaspis regimbarti,Anaspis_regimbarti,Scraptiidae,Cucujiformia,0,0,0,0,False,False,False,,,
Anisosticta novemdecimpunctata,Anisosticta_novemdecimpunctata,Coccinellidae,Cucujiformia,0,0,0,0,False,False,False,,,
Anobium punctatum,Anobium_punctatum,Ptinidae,Cucujiformia,0,0,0,0,False,False,False,,,
Anoplophora chinensis,Anoplophora_chinensis,Cerambycidae,Cucujiformia,11,0,0,11,False,False,False,antenna; antennal; whole body,ILLUMINA,SRX30586089; SRX7010356; SRX7010355; SRX7010354; SRX7010353
Anoplophora glabripennis,Anoplophora_glabripennis,Cerambycidae,Cucujiformia,196,1,63,132,True,True,True,antenna; anterior midgut; body; fat body; female midgut; gut; hindgut; malpighian tubules; midgut; supraesophageal ganglia,ILLUMINA,SRX31536631; SRX31536630; SRX31536629; SRX31536628; SRX31536627
Anoplophora malasiaca,Anoplophora_malasiaca,Cerambycidae,Cucujiformia,0,0,0,0,False,False,False,,,
Anthobium unicolor,Anthobium_unicolor,Staphylinidae,Staphyliniformia,0,0,0,0,False,False,False,,,
Anthocomus fasciatus,Anthocomus_fasciatus,Melyridae,Cucujiformia,0,0,0,0,False,False,False,,,
Anthonomus grandis grandis,Anthonomus_grandis_grandis,Curculionidae,Cucujiformia,13,0,0,13,False,False,False,whole body,ILLUMINA,SRX19176128; SRX19176127; SRX19176126; SRX19176125; SRX19176124
Anthonomus grandis thurberiae,Anthonomus_grandis_thurberiae,Curculionidae,Cucujiformia,0,0,0,0,False,False,False,,,
Anthonomus rubi,Anthonomus_rubi,Curculionidae,Cucujiformia,1,0,1,0,False,True,False,head and thorax,ILLUMINA,SRX30083960
Anthroherpon ganglbaueri,Anthroherpon_ganglbaueri,Leiodidae,Staphyliniformia,1,0,0,1,False,False,False,,ILLUMINA,ERX13270904
Aphidecta obliterata,Aphidecta_obliterata,Coccinellidae,Cucujiformia,0,0,0,0,False,False,False,,,
Aphodius fimetarius,Aphodius_fimetarius,Scarabaeidae,Scarabaeiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX14546108
Aphodius granarius,Aphodius_granarius,Scarabaeidae,Scarabaeiformia,1,0,0,1,False,False,False,,ILLUMINA,ERX12465329
Aphodius sticticus,Aphodius_sticticus,Scarabaeidae,Scarabaeiformia,0,0,0,0,False,False,False,,,
Aplotarsus incanus,Aplotarsus_incanus,Elateridae,Elateriformia,0,0,0,0,False,False,False,,,
Apoderus coryli,Apoderus_coryli,Attelabidae,Cucujiformia,1,0,0,1,False,False,False,whole body,ILLUMINA,SRX9535374
Aquatica leii,Aquatica_leii,Lampyridae,Elateriformia,82,0,0,82,False,False,False,abdominal v4-v5 cuticle; adult light organ; adult whole body; entire insect; larvae; sixth instar larvae; whole body,BGISEQ; DNBSEQ; ILLUMINA,SRX31299479; SRX31299478; SRX31299477; SRX31299476; SRX31299475
Arhopalus rusticus,Arhopalus_rusticus,Cerambycidae,Cucujiformia,4,0,0,4,False,False,False,missing,ILLUMINA,ERX12734313; SRX21864272; SRX21864271; SRX21864270
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Cucujiformia,9,3,3,3,True,True,True,complete insect,ILLUMINA,SRX26230917; SRX26230916; SRX26230915; SRX26230914; SRX26230913
