species,tip_label,family,order,role,match_level,diploid_number_2n,sex_chromosome_system,meioformula,n_records,diploid_range,notes,citation,source
Abax parallelepipedus,Abax_parallelepipedus,Carabidae,Coleoptera,ingroup,species,35,XO,2n=35M 17+XO,1,,,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",Blackmon_Coleoptera_Karyotype_DB
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Coleoptera,ingroup,none,,,,0,,,,
Acanthacorydalis orientalis,Acanthacorydalis_orientalis,Corydalidae,Megaloptera,outgroup,none,,,,0,,,,
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Coleoptera,ingroup,species,20,XY,2n=20M/2n=20F 9+XY,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Actenicerus siaelandicus,Actenicerus_siaelandicus,Elateridae,Coleoptera,ingroup,none,,,,0,,,,
Acupalpus dubius,Acupalpus_dubius,Carabidae,Coleoptera,ingroup,genus,22,XY,,3,22;39;45,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Acupalpus parvulus,Acupalpus_parvulus,Carabidae,Coleoptera,ingroup,genus,22,XY,,3,22;39;45,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Adalia bipunctata,Adalia_bipunctata,Coccinellidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,2,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Adalia decempunctata,Adalia_decempunctata,Coccinellidae,Coleoptera,ingroup,genus,20,Xyp,,3,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Adelopsella bosnica,Adelopsella_bosnica,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Aegialia arenaria,Aegialia_arenaria,Scarabaeidae,Coleoptera,ingroup,genus,20,XY,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Aethina tumida,Aethina_tumida,Nitidulidae,Coleoptera,ingroup,none,,,,0,,,,
Agelastica alni,Agelastica_alni,Chrysomelidae,Coleoptera,ingroup,genus,24,Xyr,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agonum fuliginosum,Agonum_fuliginosum,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Agonum gracile,Agonum_gracile,Carabidae,Coleoptera,ingroup,species,35,,2n=35-36M,1,,,Serrano and Galian (1998),Blackmon_Coleoptera_Karyotype_DB
Agonum viduum,Agonum_viduum,Carabidae,Coleoptera,ingroup,genus,37,XO,,24,34;35;36;37;39;43,Genus-level: 21 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agrilus biguttatus,Agrilus_biguttatus,Buprestidae,Coleoptera,ingroup,genus,20,Xyp,,8,20;22,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agrilus cyanescens,Agrilus_cyanescens,Buprestidae,Coleoptera,ingroup,genus,20,Xyp,,8,20;22,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agrilus mali,Agrilus_mali,Buprestidae,Coleoptera,ingroup,genus,20,Xyp,,8,20;22,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agrilus planipennis,Agrilus_planipennis,Buprestidae,Coleoptera,ingroup,genus,20,Xyp,,8,20;22,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agriotes ferrugineipennis,Agriotes_ferrugineipennis,Elateridae,Coleoptera,ingroup,genus,19,XO,,4,19;20,Genus-level: 4 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agriotes lineatus,Agriotes_lineatus,Elateridae,Coleoptera,ingroup,species,19,XO,2n=19M 9+XO,1,,,"Schneider, Carraro, et al. (2007)",Blackmon_Coleoptera_Karyotype_DB
Agriotes mancus,Agriotes_mancus,Elateridae,Coleoptera,ingroup,species,19,XO,2n=19M 9+XO,1,,,"Schneider, Carraro, et al. (2007)",Blackmon_Coleoptera_Karyotype_DB
Agriotes obscurus,Agriotes_obscurus,Elateridae,Coleoptera,ingroup,species,19,XO,2n=19M 9+XO,1,,,"Schneider, Carraro, et al. (2007)",Blackmon_Coleoptera_Karyotype_DB
Agriotes sputator,Agriotes_sputator,Elateridae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,"Schneider, Carraro, et al. (2007)",Blackmon_Coleoptera_Karyotype_DB
Agrypnus murinus,Agrypnus_murinus,Elateridae,Coleoptera,ingroup,genus,17,XO,,2,11;17,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Aleochara curtula,Aleochara_curtula,Staphylinidae,Coleoptera,ingroup,genus,18,NeoXY,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Altica lythri,Altica_lythri,Chrysomelidae,Coleoptera,ingroup,species,24,Xy+,2n=24M 11+Xy+,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Amara aenea,Amara_aenea,Carabidae,Coleoptera,ingroup,species,35,XO,2n=35M 17+XO,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Amara convexiuscula,Amara_convexiuscula,Carabidae,Coleoptera,ingroup,genus,37,XO,,24,20;21;22;24;26;30;32;33;34;35;37;41,Genus-level: 23 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Amara familiaris,Amara_familiaris,Carabidae,Coleoptera,ingroup,species,34,NeoXY,2n=34M 16+NeoXY,2,33;34,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Amara ovata,Amara_ovata,Carabidae,Coleoptera,ingroup,genus,37,XO,,24,20;21;22;24;26;30;32;33;34;35;37;41,Genus-level: 23 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Ampedus sanguinolentus,Ampedus_sanguinolentus,Elateridae,Coleoptera,ingroup,genus,19,XO,,9,19;21,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Amphimallon solstitiale,Amphimallon_solstitiale,Scarabaeidae,Coleoptera,ingroup,genus,20,XY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Anaglyptus mysticus,Anaglyptus_mysticus,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Anaspis frontalis,Anaspis_frontalis,Scraptiidae,Coleoptera,ingroup,none,,,,0,,,,
Anaspis maculata,Anaspis_maculata,Scraptiidae,Coleoptera,ingroup,none,,,,0,,,,
Anaspis regimbarti,Anaspis_regimbarti,Scraptiidae,Coleoptera,ingroup,none,,,,0,,,,
Anisosticta novemdecimpunctata,Anisosticta_novemdecimpunctata,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Anobium punctatum,Anobium_punctatum,Ptinidae,Coleoptera,ingroup,none,,,,0,,,,
Anoplophora chinensis,Anoplophora_chinensis,Cerambycidae,Coleoptera,ingroup,species,30,XY,2n=30M 14+XY,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Anoplophora glabripennis,Anoplophora_glabripennis,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,Ping et al. (2010),Blackmon_Coleoptera_Karyotype_DB
Anoplophora malasiaca,Anoplophora_malasiaca,Cerambycidae,Coleoptera,ingroup,species,30,Xyp,2n=30M 14+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Anthobium unicolor,Anthobium_unicolor,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Anthocomus fasciatus,Anthocomus_fasciatus,Melyridae,Coleoptera,ingroup,none,,,,0,,,,
Anthonomus grandis grandis,Anthonomus_grandis_grandis,Curculionidae,Coleoptera,ingroup,genus,32,Xyp,,15,19;26;28;30;32;34;36;42;43;44,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Anthonomus grandis thurberiae,Anthonomus_grandis_thurberiae,Curculionidae,Coleoptera,ingroup,genus,32,Xyp,,15,19;26;28;30;32;34;36;42;43;44,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Anthonomus rubi,Anthonomus_rubi,Curculionidae,Coleoptera,ingroup,genus,32,Xyp,,15,19;26;28;30;32;34;36;42;43;44,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Anthroherpon ganglbaueri,Anthroherpon_ganglbaueri,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Aphidecta obliterata,Aphidecta_obliterata,Coccinellidae,Coleoptera,ingroup,species,19,XO,2n=19M/2n=20F 9+XO,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Aphodius fimetarius,Aphodius_fimetarius,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,1,,,Wilson (2001),Blackmon_Coleoptera_Karyotype_DB
Aphodius granarius,Aphodius_granarius,Scarabaeidae,Coleoptera,ingroup,genus,20,XY,,43,19;20;22,Genus-level: 43 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Aphodius sticticus,Aphodius_sticticus,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,1,,,Wilson and Angus (2004a),Blackmon_Coleoptera_Karyotype_DB
Aplotarsus incanus,Aplotarsus_incanus,Elateridae,Coleoptera,ingroup,none,,,,0,,,,
Apoderus coryli,Apoderus_coryli,Attelabidae,Coleoptera,ingroup,species,28,Xyp,2n=28M 13+Xyp,1,,,"Rozek, Lachowska, Petitpierre, and Holecova (2004)",Blackmon_Coleoptera_Karyotype_DB
Aquatica leii,Aquatica_leii,Lampyridae,Coleoptera,ingroup,none,,,,0,,,,
Arhopalus rusticus,Arhopalus_rusticus,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Aromia moschata,Aromia_moschata,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Aspidapion aeneum,Aspidapion_aeneum,Apionidae,Coleoptera,ingroup,none,,,,0,,,,
Attagenus pellio,Attagenus_pellio,Dermestidae,Coleoptera,ingroup,genus,18,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Aulacophora lewisii,Aulacophora_lewisii,Chrysomelidae,Coleoptera,ingroup,genus,30,XXY,,10,30;57;58;59,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Barypeithes pellucidus,Barypeithes_pellucidus,Curculionidae,Coleoptera,ingroup,species,22,Xyp,2n=22M 10+Xyp,2,,,S. Smith and Virkki (1978); Lachowska (2008),Blackmon_Coleoptera_Karyotype_DB
Bathyscidius tristiculus,Bathyscidius_tristiculus,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Batocera lineolata,Batocera_lineolata,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,LiJuan et al. (2013),Blackmon_Coleoptera_Karyotype_DB
Betulapion simile,Betulapion_simile,Apionidae,Coleoptera,ingroup,none,,,,0,,,,
Biphyllus lunatus,Biphyllus_lunatus,Biphyllidae,Coleoptera,ingroup,none,,,,0,,,,
