tip_label,species_name,assembly_accession,family,clade,role
Abax_parallelepipedus,Abax parallelepipedus,GCA_964197645.1,Carabidae,Adephaga,ingroup
Abscondita_terminalis,Abscondita terminalis,GCA_013368085.1,Lampyridae,Elateriformia,ingroup
Acanthacorydalis_orientalis,Acanthacorydalis orientalis,GCA_034766995.1,Corydalidae,Megaloptera,outgroup
Acanthoscelides_obtectus,Acanthoscelides obtectus,GCA_963669975.1,Chrysomelidae,Cucujiformia,ingroup
Actenicerus_siaelandicus,Actenicerus siaelandicus,GCA_964234755.1,Elateridae,Elateriformia,ingroup
Acupalpus_dubius,Acupalpus dubius,GCA_977071005.1,Carabidae,Adephaga,ingroup
Acupalpus_parvulus,Acupalpus parvulus,GCA_981690485.1,Carabidae,Adephaga,ingroup
Adalia_bipunctata,Adalia bipunctata,GCA_910592335.1,Coccinellidae,Cucujiformia,ingroup
Adalia_decempunctata,Adalia decempunctata,GCA_951802165.1,Coccinellidae,Cucujiformia,ingroup
Adelopsella_bosnica,Adelopsella bosnica,GCA_977014165.1,Leiodidae,Staphyliniformia,ingroup
Aegialia_arenaria,Aegialia arenaria,GCA_978045345.1,Scarabaeidae,Scarabaeiformia,ingroup
Aethina_tumida,Aethina tumida,GCF_024364675.1,Nitidulidae,Cucujiformia,ingroup
Agelastica_alni,Agelastica alni,GCA_950111635.2,Chrysomelidae,Cucujiformia,ingroup
Agonum_fuliginosum,Agonum fuliginosum,GCA_947534325.1,Carabidae,Adephaga,ingroup
Agonum_gracile,Agonum gracile,GCA_982290465.1,Carabidae,Adephaga,ingroup
Agonum_viduum,Agonum viduum,GCA_978021445.1,Carabidae,Adephaga,ingroup
Agrilus_biguttatus,Agrilus biguttatus,GCA_963921985.1,Buprestidae,Elateriformia,ingroup
Agrilus_cyanescens,Agrilus cyanescens,GCA_947389935.1,Buprestidae,Elateriformia,ingroup
Agrilus_mali,Agrilus mali,GCA_055682225.1,Buprestidae,Elateriformia,ingroup
Agrilus_planipennis,Agrilus planipennis,GCF_000699045.2,Buprestidae,Elateriformia,ingroup
Agriotes_ferrugineipennis,Agriotes ferrugineipennis,GCA_044115295.2,Elateridae,Elateriformia,ingroup
Agriotes_lineatus,Agriotes lineatus,GCA_965788545.1,Elateridae,Elateriformia,ingroup
