species_name,assembly_accession,ncbi_bioproject,restriction_status,include_recommended
Monochamus sutor,GCA_052757275.1,PRJNA1290528,published_open,yes
Diabrotica virgifera virgifera,GCA_917563875.2,PRJEB47906,published_open,yes
Diabrotica virgifera virgifera,GCF_917563875.1,PRJEB47906,published_open,yes
Aethina tumida,GCA_024364675.1,PRJNA825637,published_open,yes
Aethina tumida,GCF_024364675.1,PRJNA825637,published_open,yes
Coccinella transversoguttata,GCA_053478235.1,PRJNA1268667,published_open,yes
Eucryptorrhynchus scrobiculatus,GCA_046736385.1,PRJNA663363,published_open,yes
Arhopalus unicolor,GCA_045514315.1,PRJNA1112115,published_open,yes
Tribolium freemani,GCA_939628115.1,PRJEB52307,published_open,yes
Agrilus cyanescens,GCA_947389935.1,PRJEB57759,published_open,yes
Monochamus scutellatus,GCA_052862855.1,PRJNA1289024,published_open,yes
Larinus planus,GCA_977012605.1,PRJEB101224,published_open,yes
Distenia gracilis,GCA_055671715.1,PRJNA1366490,published_open,yes
Brassicogethes aeneus,GCA_921294245.1,PRJEB48953,published_open,yes
Tetraopes melanurus,GCA_054850815.1,PRJNA1287481,published_open,yes
Anoplophora malasiaca,GCA_054644075.1,PRJNA1393341,published_open,yes
Phyllotreta cruciferae,GCA_917563865.1,PRJEB47904,published_open,yes
Tetraopes sublaevis,GCA_054850805.1,PRJNA1287481,published_open,yes
Tetraopes tetrophthalmus,GCA_054850835.1,PRJNA1287481,published_open,yes
Platystomos albinus,GCA_964106875.1,PRJEB76113,published_open,yes
Tribolium castaneum,GCA_031307605.1,PRJNA865805,published_open,yes
Tribolium castaneum,GCF_031307605.1,PRJNA865805,published_open,yes
Harmonia axyridis,GCA_914767665.1,PRJEB47373,published_open,yes
Harmonia axyridis,GCF_914767665.1,PRJEB47373,published_open,yes
Tenebrio molitor,GCA_963966145.1,PRJEB72558,published_open,yes
Tenebrio molitor,GCF_963966145.1,PRJEB72558,published_open,yes
Monochamus alternatus,GCA_037114965.1,PRJNA1084890,published_open,yes
Callosobruchus maculatus,GCA_040182625.1,PRJNA1048654,published_open,yes
Ips typographus,GCA_016097725.2,PRJNA671615,published_open,yes
Onthophagus taurus,GCA_036711975.1,PRJNA966962,published_open,yes
Onthophagus taurus,GCF_036711975.1,PRJNA966962,published_open,yes
Trypoxylus dichotomus,GCA_023509865.1,PRJNA688811,published_open,yes
Plagiodera versicolora,GCA_037013635.1,PRJNA1045849,published_open,yes
Dendroctonus frontalis,GCA_040113315.1,PRJNA1100959,published_open,yes
Monolepta hieroglyphica,GCA_045514875.1,PRJNA1171132,published_open,yes
Anthonomus grandis grandis,GCA_022605725.3,PRJNA767408,published_open,yes
Anthonomus grandis grandis,GCF_022605725.1,PRJNA767408,published_open,yes
Hippodamia variegata,GCA_046424425.1,PRJNA1172969,published_open,yes
Coccinella septempunctata,GCA_907165205.1,PRJEB44629,published_open,yes
Coccinella septempunctata,GCF_907165205.1,PRJEB44629,published_open,yes
Euwallacea fornicatus,GCA_040115645.1,PRJNA1086994,published_open,yes
Euwallacea fornicatus,GCF_040115645.1,PRJNA1086994,published_open,yes
Sitophilus zeamais,GCA_047936755.1,PRJNA1208214,published_open,yes
Pogonus chalceus,GCA_002278615.1,PRJNA381601,published_open,no
Adalia bipunctata,GCA_910592335.1,PRJEB45686,published_open,yes
Aquatica leii,GCA_035610365.1,PRJNA948550,published_open,yes
Aleochara curtula,GCA_963978815.1,PRJEB73701,published_open,yes
Gnatocerus cornutus,GCA_029298725.1,PRJNA767424,published_open,yes
Anoplophora chinensis,GCA_052815205.1,PRJNA1309080,published_open,yes
Zophobas atratus,GCA_022388445.1,PRJNA764250,published_open,yes
Dastarcus helophoroides,GCA_028583605.1,PRJNA777352,published_open,yes
Brontispa longissima,GCA_040580785.1,PRJNA1085852,published_open,yes
Monochamus saltuarius,GCA_025584915.1,PRJNA814433,published_open,yes
Poecilus cupreus,GCA_963942605.1,PRJEB72471,published_open,yes
Agrilus mali,GCA_055682225.1,PRJNA1293793,published_open,yes
Rhyzopertha dominica,GCA_055878605.1,PRJNA1330578,published_open,yes
Phyllotreta striolata,GCA_918026865.1,PRJEB47901,published_open,yes
Holotrichia oblita,GCA_023690525.1,PRJNA812706,published_open,yes
Tomicus yunnanensis,GCA_054825155.1,PRJNA1393581,published_open,yes
Protaetia brevitarsis,GCA_051903415.1,PRJNA1286165,published_open,yes
Prosopocoilus inquinatus,GCA_036172665.1,PRJNA1015594,published_open,yes
Diorhabda carinata,GCA_029229535.1,PRJNA788879,published_open,yes
Diorhabda carinulata,GCA_026250575.2,PRJNA788877,published_open,yes
Diorhabda carinulata,GCA_026250575.2,PRJNA788877,to_verify,yes
Diorhabda carinulata,GCF_026250575.1,PRJNA788877,published_open,yes
Rhagonycha fulva,GCA_905340355.1,PRJEB43726,published_open,yes
Latheticus oryzae,GCA_030157265.1,PRJNA767393,published_open,yes
Ips nitidus,GCA_018691245.2,PRJNA722788,published_open,yes
Batocera lineolata,GCA_052815245.1,PRJNA1309302,published_open,yes
Melanotus villosus,GCA_963082815.1,PRJEB64848,published_open,yes
Diorhabda sublineata,GCA_026230105.1,PRJNA767483,published_open,yes
Diorhabda sublineata,GCF_026230105.1,PRJNA767483,published_open,yes
Diorhabda elongata,GCA_026230145.1,PRJNA788886,published_open,yes
Philonthus spinipes,GCA_963082785.1,PRJEB64818,published_open,yes
Ips sexdentatus,GCA_976954535.1,PRJEB98041,published_open,yes
Lagria hirta,GCA_947359425.1,PRJEB57606,published_open,yes
Ophraella communa,GCA_035357415.1,PRJNA899605,published_open,yes
Diabrotica undecimpunctata,GCA_040954645.1,PRJNA1090230,published_open,yes
Diabrotica undecimpunctata,GCF_040954645.1,PRJNA1090230,published_open,yes
Uleiota planata,GCA_965112455.1,PRJEB84218,published_open,yes
Eucryptorrhynchus brandti,GCA_040894065.1,PRJNA663368,published_open,yes
