species_name,assembly_accession,bioproject,current_status,risk_level,recommended_action,notes,student_verified,final_status
Brachynemurus nebulosus,GCA_035578155.1,PRJNA849191,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Brachypterus glaber,GCA_958510825.1,PRJEB64398,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Brassicogethes aeneus,GCA_921294245.1,PRJEB48953,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Brontispa longissima,GCA_040580785.1,PRJNA1085852,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Bruchidius siliquastri,GCA_949316355.1,PRJEB60137,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Bruchidius varius,GCA_964204745.1,PRJEB78407,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Bruchidius villosus,GCA_965643515.1,PRJEB93937,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Caccobius schreberi,GCA_033557405.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calathus fuscipes,GCA_978122415.1,PRJEB107157,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calathus melanocephalus,GCA_966096355.1,PRJEB95786,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calligrapha alni,GCA_046129895.1,PRJNA1153342,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Callosobruchus maculatus,GCA_040182625.1,PRJNA1048654,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calodromius spilotus,GCA_977063495.1,PRJEB103060,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calosoma granatense,GCA_022063505.1,PRJNA706924,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calosoma relictum,GCA_055275695.1,PRJNA1390611,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calosoma tepidum,GCA_044734075.1,PRJNA1160031,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calosoma wilkesii,GCA_044734065.1,PRJNA1160031,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calvia quattuordecimguttata,GCA_964059645.1,PRJEB76103,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis decipiens,GCA_965642435.1,PRJEB93841,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis flavilabris,GCA_949152465.1,PRJEB59846,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis lateralis,GCA_963170105.1,PRJEB64909,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis nigra,GCA_958510845.1,PRJEB64391,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis pallida,GCA_978407175.1,PRJEB107253,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis rufa,GCA_947369205.1,PRJEB57708,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis rustica,GCA_911387805.1,PRJEB46423,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Canthon chalcites,GCA_054832385.1,PRJNA1304937,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus banonii,GCA_964291765.2,PRJEB77255,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus blaptoides fortunei,GCA_050785175.1,PRJDB5357,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus depressus,GCA_048127345.1,PRJNA1171461,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus esakii,GCA_054785535.1,PRJDB5403,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus nemoralis,GCA_977790985.1,PRJEB104832,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus problematicus,GCA_963422195.1,PRJEB65488,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus staehlini,GCA_977013385.1,PRJEB94624,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cartodere bifasciata,GCA_963920755.1,PRJEB71555,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Catharsius molossus,GCA_051362485.1,PRJNA1265283,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Catops nigricans,GCA_965642125.1,PRJEB92392,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cedrorum azoricus,GCA_965287095.1,PRJEB84164,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Centroclisis negligens,GCA_055698825.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cetonia aurata,GCA_949128085.1,PRJEB59502,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ceutorhynchus assimilis,GCA_917834065.1,PRJEB47903,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ceutorhynchus obstrictus,GCA_965178145.1,PRJEB86217,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chaetocnema hortensis,GCA_965653155.1,PRJEB94557,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysina gloriosa,GCA_038088585.1,PRJNA1043134,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysina resplendens,GCA_010091895.2,PRJNA341359,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina americana,GCA_958502065.1,PRJEB64387,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina graminis,GCA_964197785.1,PRJEB77184,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina haemoptera,GCA_958298965.1,PRJEB64038,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina herbacea,GCA_979300175.1,PRJEB107946,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina hyperici,GCA_982264245.1,PRJEB109775,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina oricalcia,GCA_944452925.2,PRJEB53643,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysomela aeneicollis,GCA_029955515.1,PRJNA941318,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysomela populi,GCA_965642295.1,PRJEB93767,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysomela saliceti,GCA_965121785.1,PRJEB85414,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysopa pallens,GCA_020423425.1,PRJNA685652,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysoperla carnea,GCF_905475395.1,PRJEB44056,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysoperla zastrowi sillemi,GCA_040669965.1,PRJNA905226,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cis bilamellatus,GCA_977930235.1,PRJEB105253,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Clivina fossor,GCA_963966155.1,PRJEB72557,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coccidula rufa,GCA_965178175.1,PRJEB86219,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coccinella magnifica,GCA_965644565.1,PRJEB94210,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coccinella septempunctata,GCF_907165205.1,PRJEB44629,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coccinella transversoguttata,GCA_053478235.1,PRJNA1268667,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coelostoma orbiculare,GCA_979606585.1,PRJEB108172,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Colydium elongatum,GCA_964656385.1,PRJEB83423,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Conwentzia psociformis,GCA_976988905.1,PRJEB98820,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Copris fidius,GCA_032191685.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coproporus ventriculus,GCA_027574865.2,PRJNA342850,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coptodactyla brooksi,GCA_033557675.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cosmopolites sordidus,GCA_031761425.1,PRJNA817621,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Crepidodera aurata,GCA_965645225.1,PRJEB94310,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Crepidodera aurea,GCA_949320105.2,PRJEB60253,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Crepidodera fulvicornis,GCA_965615805.1,PRJEB90966,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Crioceris asparagi,GCA_958507055.1,PRJEB64385,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Crudosilis ruficollis,GCA_978018155.1,PRJEB106235,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cryptocephalus moraei,GCA_946251905.1,PRJEB55436,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cryptocephalus primarius,GCA_963576515.1,PRJEB68110,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cryptocephalus pusillus,GCA_965663585.1,PRJEB94975,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cryptolaemus montrouzieri,GCA_013387265.2,PRJNA626074,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cryptophagus acutangulus,GCA_963556235.1,PRJEB67290,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cryptorhynchus lapathi,GCA_965641385.1,PRJEB91872,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ctenicera cuprea,GCA_958336395.1,PRJEB64316,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cueta kurzi,GCA_055699855.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cueta schamona,GCA_055699935.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Curculio caryae,GCA_051047995.1,PRJNA813156,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Curculio glandium,GCA_965648435.1,PRJEB94373,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cylas formicarius,GCF_029955315.1,PRJNA832148,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cynaeus angustus,GCA_030157275.1,PRJNA767403,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cynegetis impunctata,GCA_030704885.1,PRJNA626074,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cypha longicornis,GCA_030264615.1,PRJNA764224,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dailognatha quadricollis,GCA_965183915.1,PRJEB77130,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dalopius marginatus,GCA_965112895.1,PRJEB84404,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dalotia coriaria,GCA_025399875.3,PRJNA342849,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dascillus cervinus,GCA_949768715.1,PRJEB60919,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dastarcus helophoroides,GCA_028583605.1,PRJNA777352,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Deinopsis erosa,GCA_027574845.2,PRJNA361286,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dendarus foraminosus,GCA_965152765.1,PRJEB77266,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dendroctonus frontalis,GCA_040113315.1,PRJNA1100959,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dendroctonus ponderosae,GCA_020466585.2,PRJNA638278,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dendroctonus valens,GCA_024550625.1,PRJNA765904,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dendroleon pantherinus,GCA_055698115.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Denticollis linearis,GCA_964205235.1,PRJEB78455,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dermolepida albohirtum,GCA_031893035.2,PRJNA1001588,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diabrotica balteata,GCA_918026665.1,PRJEB47897,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diabrotica undecimpunctata,GCF_040954645.1,PRJNA1090230,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diabrotica virgifera virgifera,GCF_917563875.1,PRJEB47906,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diaperis boleti,GCA_963583935.1,PRJEB68176,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diaprepes abbreviatus,GCA_034092305.1,PRJNA973042,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dicheirus dilatatus,GCA_043773905.1,PRJNA1118742,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Digitonthophagus gazella,GCA_036711955.1,PRJNA966967,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diorhabda carinata,GCA_029229535.1,PRJNA788879,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diorhabda carinulata,GCA_026250575.2,PRJNA788877,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diorhabda elongata,GCA_026230145.1,PRJNA788886,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diorhabda sublineata,GCF_026230105.1,PRJNA767483,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diorygopyx duplodentatus,GCA_033557515.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diplocoelus fagi,GCA_975146085.1,PRJEB96811,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Diploeciton nevermanni,GCA_027575565.1,PRJNA341503,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Distenia gracilis,GCA_055671715.1,PRJNA1366490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Donacia provostii,GCA_052550795.1,PRJNA1238083,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dorcus hopei,GCA_033060865.1,PRJNA978836,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dorcus parallelipipedus,GCA_958336345.1,PRJEB64318,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
