tip_label,source_tier,family,superfamily,suborder,which_creedy_clades
GCA_964197645.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_030710515.1,genome,Lampyridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_013368085.1,genome,Lampyridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_963669975.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_964234755.1,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_977071005.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_981690485.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_910592335.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_951802165.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_977014165.1,genome,Leiodidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_030264715.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_009867245.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_978045345.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_010014765.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_024364675.1,genome,Nitidulidae,Nitiduloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia
GCA_950111635.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_947534325.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_982290465.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_982345065.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_978021445.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_963921985.1,genome,Buprestidae,Buprestoidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Buprestoidea|Byrrhoidea+Buprestoidea
GCA_947389935.1,genome,Buprestidae,Buprestoidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Buprestoidea|Byrrhoidea+Buprestoidea
GCA_029378335.1,genome,Buprestidae,Buprestoidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Buprestoidea|Byrrhoidea+Buprestoidea
GCA_000699045.2,genome,Buprestidae,Buprestoidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Buprestoidea|Byrrhoidea+Buprestoidea
GCA_044115295.2,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_965788545.1,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_041228545.2,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_040955265.2,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_044115395.2,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_044115325.2,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_929113105.1,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_009852465.1,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_003054995.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_963978815.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_030264555.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_964028335.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_973350105.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_982446755.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_981560045.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_978120735.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_965279875.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_964234815.1,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_963170755.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_033557545.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_978041785.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_964243895.1,genome,Scraptiidae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_949128115.1,genome,Scraptiidae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_964204715.1,genome,Scraptiidae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_030264675.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_964188095.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_965643755.1,genome,Ptinidae,Bostrichoidea,Polyphaga,Coleoptera|Polyphaga|Bostrichiformia
GCA_052815205.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_054644005.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_054644075.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_965663565.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_964258815.1,genome,Melyridae,Cleroidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Cleroidea
GCA_030068095.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_050242925.2,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
