tip_label,source_tier,family,superfamily,suborder,which_creedy_clades
GCA_978045665.1,genome,Leiodidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_963966015.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_964211865.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_963971325.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_032191705.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_963966075.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_978018165.1,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_911728435.1,genome,Attelabidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_035610365.1,genome,Lampyridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_050578095.1,genome,Anthribidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_046563155.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_045514315.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_965642075.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_004193795.1,genome,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_963576565.1,genome,Apionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_965278915.1,genome,Leiodidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_030264155.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_978258735.1,genome,Dermestidae,Bostrichoidea,Polyphaga,Coleoptera|Polyphaga|Bostrichiformia
GCA_051251045.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_963991005.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_979853965.1,genome,Leiodidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_052815245.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_050941775.1,genome,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_033557775.1,genome,Hydrophilidae,Hydrophiloidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Hydrophiloidea|Hydrophiloidea+Histeroidea
GCA_966183525.1,genome,Apionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_965194465.1,genome,Biphyllidae,Cleroidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Cleroidea
GCA_964656825.1,genome,Zopheridae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_042257705.1,genome,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_050230235.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_958510825.1,genome,Kateretidae,Nitiduloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia
GCA_921294245.1,genome,Nitidulidae,Nitiduloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia
GCA_040580785.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_949316355.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_964204745.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_965643515.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_033557405.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_978122415.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_966096355.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_046129265.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_040182625.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_977063495.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_022063505.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_055275695.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_044734075.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_044734065.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_964059645.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_965642435.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_949152465.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_963170105.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_958510845.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_978407175.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_982552315.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_947369205.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_911387805.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_054832385.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_964291765.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_050785175.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_048127345.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_054785535.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_977790985.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_963422195.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_977013385.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_963920755.1,genome,Latridiidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_051362485.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_965642105.1,genome,Leiodidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_965287095.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_949128085.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_917834065.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_965178145.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_965653155.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_056790185.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_038088585.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_010091895.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_958502065.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_964197785.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_958298965.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_979300175.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_982264245.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_944452925.2,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_027562985.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_965642295.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_965121785.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_977930235.1,genome,Ciidae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_963966155.1,genome,Carabidae,Caraboidea,Adephaga,Coleoptera|Adephaga|remaining_Adephaga|Geadephaga|remaining_Geadephaga|Carabidae
GCA_965178175.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_965644565.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_907165205.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_056522465.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_979606585.1,genome,Hydrophilidae,Hydrophiloidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Hydrophiloidea|Hydrophiloidea+Histeroidea
GCA_964656385.1,genome,Zopheridae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_032191685.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_027574865.2,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_033557675.1,genome,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Scarabaeiformia|Staphylinoidea+Scarabaeoidea|Scarabaeoidea
GCA_031761425.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_965645225.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_949320105.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_965615805.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_958507055.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_978018155.1,genome,Cantharidae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_946251905.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_963576515.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_965663585.1,genome,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Curculionoidea+Chrysomeloidea
GCA_013387265.2,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_963556235.1,genome,Cryptophagidae,Cucujoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Cucujoidea_ss
GCA_965641385.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_958336395.1,genome,Elateridae,Elateroidea,Polyphaga,Coleoptera|Polyphaga|Elateriformia|Elateroidea
GCA_051047995.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_965648435.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_029955315.1,genome,Brentidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_030157275.1,genome,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
GCA_030704885.1,genome,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea
GCA_030264615.1,genome,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera|Polyphaga|Staphyliniformia|Staphylinoidea|Staphylinoidea+Scarabaeoidea
GCA_056777075.1,genome,Curculionidae,Curculionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionoidea+Chrysomeloidea
GCA_976941425.1,genome,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Lymexyloidea+Tenebrionoidea
