bouchard_family,bouchard_subfamily,bouchard_authority,bouchard_superfamily,ncbi_taxid,ncbi_primary_name,ncbi_synonyms,match_status,notes
Acanthocnemidae,,"Crowson, 1964",Cleroidea,186091,Acanthocnemidae,,exact,
Ademosynidae,,"Ponomarenko, 1968",Permosynoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Aderidae,,"Csiki, 1909",Tenebrionoidea,219441,Aderidae,,exact,
Agapythidae,,"Sen Gupta & Crowson, 1969",Cucujoidea,1605722,Agapythidae,,exact,
Agyrtidae,,"C.G. Thomson, 1859",Staphylinoidea,66531,Agyrtidae,Agyrtinae|Necrophilinae|Pterolomatinae,exact,
Akalyptoischiidae,,"Lord, Hartley, Lawrence, McHugh, Whiting & K.B. Miller, 2010",Coccinelloidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Alexiidae,,"Imhoff, 1856",Coccinelloidea,196995,Alexiidae,Sphaerosoma Leach 1819,exact,
Alloioscarabaeidae,,"Bai, Ren & X.-K. Yang in Bai et al., 2012",Scarabaeoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Amphizoidae,,"J.L. LeConte, 1853",,107773,Amphizoidae,,exact,
Anamorphidae,,"Strohecker, 1953",Coccinelloidea,2939017,Anamorphidae,,exact,
Anthicidae,,"Latreille, 1819",Tenebrionoidea,219442,Anthicidae,,exact,
Anthribidae,,"Billberg, 1820",Curculionoidea,110015,Anthribidae,,exact,
Apophisandridae,,"Molino-Olmedo, 2017",Nitiduloidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Apotomouridae,,"Bao et al., 2018",Tenebrionoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Archeocrypticidae,,"Kaszab, 1964",Tenebrionoidea,219426,Archeocrypticidae,,exact,
Artematopodidae,,"Lacordaire, 1857",Elateroidea,195313,Artematopodidae,,exact,
Asiocoleidae,,"Rohdendorf, 1961",Asiocoleoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Aspidytidae,,"Ribera et al., 2002",,183863,Aspidytidae,,exact,
Attelabidae,,"Billberg, 1820",Curculionoidea,122737,Attelabidae,,exact,
Belidae,,"Schönherr, 1826",Curculionoidea,122753,Belidae,,exact,
Belohinidae,,"Paulian, 1959",Scarabaeoidea,614208,Belohinidae,,exact,
Berendtimiridae,,"Winkler, 1987",Elateroidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Biphyllidae,,"J.L. LeConte, 1861",Cleroidea,196969,Biphyllidae,Biphylidae,exact,
Boganiidae,,"Sen Gupta & Crowson, 1966",Erotyloidea,196979,Boganiidae,,exact,
Bolboceratidae,,"Mulsant, 1842",Scarabaeoidea,110049,Bolboceratidae,,exact,
Boleopsidae,,"Kirejtshuk & Nel, 2013",Scirtoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Boridae,,"C.G. Thomson, 1859",Tenebrionoidea,295956,Boridae,,exact,
Bostrichidae,,"Latreille, 1802",Bostrichoidea,92690,Bostrichidae,Bostrychidae,exact,
Bothrideridae,,"Erichson, 1845",Coccinelloidea,196993,Bothrideridae,,exact,
Brachypsectridae,,"G.H. Horn, 1881",Elateroidea,195311,Brachypsectridae,,exact,
Brentidae,,"Billberg, 1820",Curculionoidea,122754,Brentidae,,exact,
Buprestidae,,"Leach, 1815",Buprestoidea,50527,Buprestidae,,exact,
Byrrhidae,,"Latreille, 1804",Byrrhoidea,174914,Byrrhidae,,exact,
Byturidae,,"Gistel, 1848",Cleroidea,153015,Byturidae,,exact,
Callirhipidae,,"Emden, 1924",Dryopoidea,186986,Callirhipidae,,exact,
Cantharidae,,"Imhoff, 1856",Elateroidea,41097,Cantharidae,Telephoridae,exact,
Carabidae,,"Latreille, 1802",,41073,Carabidae,,exact,
Caridae,,"Thompson, 1992",Curculionoidea,1125798,Caridae,Carinae,exact,
Catiniidae,,"Ponomarenko, 1968",Schizocoleoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Cavognathidae,,"Sen Gupta & Crowson, 1966",Cucujoidea,196988,Cavognathidae,,exact,
Cerambycidae,,"Latreille, 1802",Chrysomeloidea,34667,Cerambycidae,,exact,
Cerasommatidiidae,,"Brèthes, 1925",Coccinelloidea,3026514,Cerasommatidiidae,,exact,
Cerophytidae,,"Latreille, 1834",Elateroidea,195306,Cerophytidae,,exact,
Cerylonidae,,"Billberg, 1820",Coccinelloidea,196994,Cerylonidae,,exact,
Chaetosomatidae,,"Crowson, 1952",Cleroidea,2571939,Chaetosomatidae,,exact,
Chalcodryidae,,"Watt, 1974",Tenebrionoidea,219435,Chalcodryidae,,exact,
Chelonariidae,,"Blanchard, 1845",Dryopoidea,186987,Chelonariidae,,exact,
Chrysomelidae,,"Latreille, 1802",Chrysomeloidea,27439,Chrysomelidae,,exact,
Cicindelidae,,"Latreille, 1802",,41064,Carabidae,,conflict,NCBI lumps Cicindelidae as Cicindelinae within Carabidae; Bouchard recognizes as separate family
Ciidae,,"Leach, 1819",Tenebrionoidea,219428,Ciidae,,exact,
Cimberididae,,"Gozis, 1882",Curculionoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Clambidae,,"Fischer von Waldheim, 1821",Clamboidea,63910,Clambidae,,exact,
Cleridae,,"Latreille, 1802",Cleroidea,186087,Cleridae,,exact,
Cneoglossidae,,"Champion, 1897",Dryopoidea,186988,Cneoglossidae,,exact,
Coccinellidae,,"Latreille, 1807",Coccinelloidea,7080,Coccinellidae,,exact,
Coleopsidae,,"Kirejtshuk & Nel, 2016",Coleopsoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Colonidae,,"G.H. Horn, 1880",Staphylinoidea,111502,Leiodidae,,conflict,NCBI treats Colonidae as Coloninae within Leiodidae; Bouchard separates
Colymbotethidae,,"Ponomarenko, 1994",,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Coprinisphaeridae,,"Genise, 2004",Scarabaeoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Coptoclavidae,,"Ponomarenko, 1961",,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Corylophidae,,"J.L. LeConte, 1852",Coccinelloidea,196998,Corylophidae,,exact,
Cretohisteridae,,"Zhou et al., 2018",Histeroidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Cretophengodidae,,"Y.-D. Li et al., 2021",Elateroidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Crowsoniellidae,,"Iablokoff-Khnzorian, 1983",Cupedoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Cryptophagidae,,"W. Kirby, 1826",Cucujoidea,196989,Cryptophagidae,,exact,
Cucujidae,,"Latreille, 1802",Cucujoidea,41110,Cucujidae,,exact,
Cupedidae,,"Laporte, 1838",Cupedoidea,50548,Cupedidae,,exact,
Curculionidae,,"Latreille, 1802",Curculionoidea,7042,Curculionidae,,exact,
Cyclaxyridae,,"Gimmel et al., 2009",Cucujoidea,295929,Cyclaxyridae,,exact,
