family,suborder,superfamily,n_species,n_chromosome,n_scaffold,n_contig,n_complete,n_scarab_source,n_new_pull_source,notes
Cupedidae,Archostemata,Cupedoidea,1,0,0,1,0,1,0,singleton; critical root/archostemata
Jurodidae,Archostemata,Cupedoidea,0,0,0,0,0,0,0,ABSENT from TOB
Micromalthidae,Archostemata,Cupedoidea,0,0,0,0,0,0,0,ABSENT from TOB
Ommatidae,Archostemata,Cupedoidea,0,0,0,0,0,0,0,ABSENT from TOB
Schizophoridae,Archostemata,Cupedoidea,0,0,0,0,0,0,0,ABSENT from TOB
Hydroscaphidae,Myxophaga,Myxophaga,0,0,0,0,0,0,0,ABSENT from TOB; ABSENT - critical outgroup for rooting
Lepiceridae,Myxophaga,Myxophaga,0,0,0,0,0,0,0,ABSENT from TOB; ABSENT - critical outgroup for rooting
Sphaeriusidae,Myxophaga,Myxophaga,0,0,0,0,0,0,0,ABSENT from TOB; ABSENT - critical outgroup for rooting
Torridincolidae,Myxophaga,Myxophaga,0,0,0,0,0,0,0,ABSENT from TOB; ABSENT - critical outgroup for rooting
Amphizoidae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Aspidytidae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Carabidae,Adephaga,Caraboidea,56,41,13,2,0,47,9,
Dytiscidae,Adephaga,Caraboidea,1,1,0,0,0,1,0,singleton
Gyrinidae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Haliplidae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Hygrobiidae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Meruidae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Noteridae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Rhysodidae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Trachypachidae,Adephaga,Caraboidea,0,0,0,0,0,0,0,ABSENT from TOB
Anobiidae,Polyphaga,Bostrichoidea,0,0,0,0,0,0,0,ABSENT from TOB
Bostrichidae,Polyphaga,Bostrichoidea,1,1,0,0,0,0,1,singleton
Dermestidae,Polyphaga,Bostrichoidea,2,2,0,0,0,2,0,
Endecatomidae,Polyphaga,Bostrichoidea,0,0,0,0,0,0,0,ABSENT from TOB
Jacobsoniidae,Polyphaga,Bostrichoidea,0,0,0,0,0,0,0,ABSENT from TOB
Nosodendridae,Polyphaga,Bostrichoidea,0,0,0,0,0,0,0,ABSENT from TOB
Ptinidae,Polyphaga,Bostrichoidea,2,2,0,0,0,1,1,
