tip_label,species,family,suborder,tier,source_path_on_grace,file_present_yet,busco_mode,assembly_level
GCA_978041785.1,Anaglyptus mysticus,Cerambycidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978041785.1/ncbi_dataset/data/GCA_978041785.1/*_genomic.fna,yes,genome,Chromosome
GCA_964243895.1,Anaspis frontalis,Scraptiidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964243895.1/ncbi_dataset/data/GCA_964243895.1/*_genomic.fna,yes,genome,Chromosome
GCA_949128115.1,Anaspis maculata,Scraptiidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_949128115.1/ncbi_dataset/data/GCA_949128115.1/*_genomic.fna,yes,genome,Chromosome
GCA_964204715.1,Anaspis regimbarti,Scraptiidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964204715.1/ncbi_dataset/data/GCA_964204715.1/*_genomic.fna,yes,genome,Chromosome
GCA_030264675.1,Anaulacaspis nigra,Staphylinidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Scaffold
GCA_964188095.1,Anisosticta novemdecimpunctata,Coccinellidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964188095.1/ncbi_dataset/data/GCA_964188095.1/*_genomic.fna,yes,genome,Chromosome
GCA_965643755.1,Anobium punctatum,Ptinidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965643755.1/ncbi_dataset/data/GCA_965643755.1/*_genomic.fna,yes,genome,Chromosome
GCA_052815205.1,Anoplophora chinensis,Cerambycidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_052815205.1/ncbi_dataset/data/GCA_052815205.1/*_genomic.fna,yes,genome,Chromosome
GCA_054644005.1,Anoplophora glabripennis,Cerambycidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_054644005.1/ncbi_dataset/data/GCA_054644005.1/*_genomic.fna,yes,genome,Chromosome
GCA_054644075.1,Anoplophora malasiaca,Cerambycidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_054644075.1/ncbi_dataset/data/GCA_054644075.1/*_genomic.fna,yes,genome,Chromosome
GCA_965663565.1,Anthobium unicolor,Staphylinidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965663565.1/ncbi_dataset/data/GCA_965663565.1/*_genomic.fna,yes,genome,Chromosome
GCA_964258815.1,Anthocomus fasciatus,Melyridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964258815.1/ncbi_dataset/data/GCA_964258815.1/*_genomic.fna,yes,genome,Chromosome
GCA_030068095.1,Anthonomus grandis,Curculionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_030068095.1/ncbi_dataset/data/GCA_030068095.1/*_genomic.fna,yes,genome,Chromosome
GCA_050242925.2,Anthonomus rubi,Curculionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_050242925.2/ncbi_dataset/data/GCA_050242925.2/*_genomic.fna,yes,genome,Scaffold
GCA_978045665.1,Anthroherpon ganglbaueri,Leiodidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978045665.1/ncbi_dataset/data/GCA_978045665.1/*_genomic.fna,yes,genome,Chromosome
GCA_963966015.1,Aphidecta obliterata,Coccinellidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963966015.1/ncbi_dataset/data/GCA_963966015.1/*_genomic.fna,yes,genome,Chromosome
GCA_964211865.1,Aphodius fimetarius,Scarabaeidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964211865.1/ncbi_dataset/data/GCA_964211865.1/*_genomic.fna,yes,genome,Chromosome
GCA_963971325.1,Aphodius granarius,Scarabaeidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963971325.1/ncbi_dataset/data/GCA_963971325.1/*_genomic.fna,yes,genome,Chromosome
GCA_032191705.1,Aphodius immundus,Scarabaeidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_963966075.1,Aphodius sticticus,Scarabaeidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963966075.1/ncbi_dataset/data/GCA_963966075.1/*_genomic.fna,yes,genome,Chromosome
GCA_978018165.1,Aplotarsus incanus,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978018165.1/ncbi_dataset/data/GCA_978018165.1/*_genomic.fna,yes,genome,Chromosome
GCA_911728435.1,Apoderus coryli,Attelabidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_911728435.1/*_genomic.fna,yes,genome,Chromosome
GCA_035610365.1,Aquatica leii,Lampyridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_035610365.1/ncbi_dataset/data/GCA_035610365.1/*_genomic.fna,yes,genome,Chromosome
GCA_050578095.1,Araecerus fasciculatus,Anthribidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_046563155.1,Arhopalus rusticus,Cerambycidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_046563155.1/ncbi_dataset/data/GCA_046563155.1/*_genomic.fna,yes,genome,Chromosome
GCA_045514315.1,Arhopalus unicolor,Cerambycidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_045514315.1/ncbi_dataset/data/GCA_045514315.1/*_genomic.fna,yes,genome,Chromosome
GCA_965642075.1,Aromia moschata,Cerambycidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965642075.1/ncbi_dataset/data/GCA_965642075.1/*_genomic.fna,yes,genome,Chromosome
GCA_004193795.1,Asbolus verrucosus,Tenebrionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_004193795.1/*_genomic.fna,yes,genome,Scaffold
GCA_963576565.1,Aspidapion aeneum,Apionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963576565.1/ncbi_dataset/data/GCA_963576565.1/*_genomic.fna,yes,genome,Chromosome
GCA_965278915.1,Astagobius angustatus,Leiodidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_030264155.1,Atheta pasadenae,Staphylinidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Scaffold
GCA_978258735.1,Attagenus pellio,Dermestidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978258735.1/ncbi_dataset/data/GCA_978258735.1/*_genomic.fna,yes,genome,Chromosome
GCA_051251045.1,Aulacophora lewisii,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_051251045.1/ncbi_dataset/data/GCA_051251045.1/*_genomic.fna,yes,genome,Chromosome
GCA_963991005.1,Barypeithes pellucidus,Curculionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963991005.1/ncbi_dataset/data/GCA_963991005.1/*_genomic.fna,yes,genome,Chromosome
GCA_979853965.1,Bathyscidius tristiculus,Leiodidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_979853965.1/ncbi_dataset/data/GCA_979853965.1/*_genomic.fna,yes,genome,Chromosome
GCA_052815245.1,Batocera lineolata,Cerambycidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_052815245.1/ncbi_dataset/data/GCA_052815245.1/*_genomic.fna,yes,genome,Chromosome
GCA_050941775.1,Batocera rufomaculata,Cerambycidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_033557775.1,Berosus sp. SLE1611,Hydrophilidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_966183525.1,Betulapion simile,Apionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_966183525.1/ncbi_dataset/data/GCA_966183525.1/*_genomic.fna,yes,genome,Chromosome
GCA_965194465.1,Biphyllus lunatus,Biphyllidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965194465.1/ncbi_dataset/data/GCA_965194465.1/*_genomic.fna,yes,genome,Chromosome
GCA_964656825.1,Bitoma crenata,Zopheridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_964656825.1/*_genomic.fna,yes,genome,Chromosome
GCA_042257705.1,Blaps rhynchoptera,Tenebrionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_042257705.1/ncbi_dataset/data/GCA_042257705.1/*_genomic.fna,yes,genome,Chromosome
GCA_050230235.1,Blemus discus,Carabidae,Adephaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Scaffold
GCA_958510825.1,Brachypterus glaber,Kateretidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_958510825.1/ncbi_dataset/data/GCA_958510825.1/*_genomic.fna,yes,genome,Chromosome
GCA_921294245.1,Brassicogethes aeneus,Nitidulidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_921294245.1/ncbi_dataset/data/GCA_921294245.1/*_genomic.fna,yes,genome,Chromosome
GCA_040580785.1,Brontispa longissima,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_040580785.1/ncbi_dataset/data/GCA_040580785.1/*_genomic.fna,yes,genome,Chromosome
GCA_949316355.1,Bruchidius siliquastri,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_949316355.1/ncbi_dataset/data/GCA_949316355.1/*_genomic.fna,yes,genome,Chromosome
GCA_964204745.1,Bruchidius varius,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964204745.1/ncbi_dataset/data/GCA_964204745.1/*_genomic.fna,yes,genome,Chromosome
GCA_965643515.1,Bruchidius villosus,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965643515.1/ncbi_dataset/data/GCA_965643515.1/*_genomic.fna,yes,genome,Chromosome
GCA_033557405.1,Caccobius schreberi,Scarabaeidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_978122415.1,Calathus fuscipes,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978122415.1/ncbi_dataset/data/GCA_978122415.1/*_genomic.fna,yes,genome,Chromosome
GCA_966096355.1,Calathus melanocephalus,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_966096355.1/ncbi_dataset/data/GCA_966096355.1/*_genomic.fna,yes,genome,Chromosome
GCA_046129265.1,Calligrapha alni,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_046129265.1/*_genomic.fna,yes,genome,Contig
GCA_040182625.1,Callosobruchus maculatus,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_040182625.1/ncbi_dataset/data/GCA_040182625.1/*_genomic.fna,yes,genome,Chromosome
GCA_977063495.1,Calodromius spilotus,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_977063495.1/ncbi_dataset/data/GCA_977063495.1/*_genomic.fna,yes,genome,Chromosome
GCA_022063505.1,Calosoma granatense,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_022063505.1/ncbi_dataset/data/GCA_022063505.1/*_genomic.fna,yes,genome,Scaffold
GCA_055275695.1,Calosoma relictum,Carabidae,Adephaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_044734075.1,Calosoma tepidum,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_044734075.1/ncbi_dataset/data/GCA_044734075.1/*_genomic.fna,yes,genome,Scaffold
GCA_044734065.1,Calosoma wilkesii,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_044734065.1/ncbi_dataset/data/GCA_044734065.1/*_genomic.fna,yes,genome,Scaffold
GCA_964059645.1,Calvia quattuordecimguttata,Coccinellidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964059645.1/ncbi_dataset/data/GCA_964059645.1/*_genomic.fna,yes,genome,Chromosome
GCA_965642435.1,Cantharis decipiens,Cantharidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965642435.1/ncbi_dataset/data/GCA_965642435.1/*_genomic.fna,yes,genome,Chromosome
GCA_949152465.1,Cantharis flavilabris,Cantharidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_949152465.1/ncbi_dataset/data/GCA_949152465.1/*_genomic.fna,yes,genome,Chromosome
GCA_963170105.1,Cantharis lateralis,Cantharidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963170105.1/ncbi_dataset/data/GCA_963170105.1/*_genomic.fna,yes,genome,Chromosome
GCA_958510845.1,Cantharis nigra,Cantharidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_958510845.1/ncbi_dataset/data/GCA_958510845.1/*_genomic.fna,yes,genome,Chromosome
GCA_978407175.1,Cantharis pallida,Cantharidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978407175.1/ncbi_dataset/data/GCA_978407175.1/*_genomic.fna,yes,genome,Chromosome
GCA_982552315.1,Cantharis pellucida,Cantharidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_982552315.1/*_genomic.fna,yes,genome,Chromosome
GCA_947369205.1,Cantharis rufa,Cantharidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_947369205.1/ncbi_dataset/data/GCA_947369205.1/*_genomic.fna,yes,genome,Chromosome
GCA_911387805.1,Cantharis rustica,Cantharidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_911387805.1/ncbi_dataset/data/GCA_911387805.1/*_genomic.fna,yes,genome,Chromosome
GCA_054832385.1,Canthon chalcites,Scarabaeidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_054832385.1/ncbi_dataset/data/GCA_054832385.1/*_genomic.fna,yes,genome,Scaffold
GCA_964291765.1,Carabus banonii,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_964291765.1/*_genomic.fna,yes,genome,Chromosome
GCA_050785175.1,Carabus blaptoides,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_050785175.1/ncbi_dataset/data/GCA_050785175.1/*_genomic.fna,yes,genome,Scaffold
GCA_048127345.1,Carabus depressus,Carabidae,Adephaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_054785535.1,Carabus esakii,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_054785535.1/ncbi_dataset/data/GCA_054785535.1/*_genomic.fna,yes,genome,Scaffold
GCA_977790985.1,Carabus nemoralis,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_977790985.1/ncbi_dataset/data/GCA_977790985.1/*_genomic.fna,yes,genome,Chromosome
GCA_963422195.1,Carabus problematicus,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963422195.1/ncbi_dataset/data/GCA_963422195.1/*_genomic.fna,yes,genome,Chromosome
GCA_977013385.1,Carabus staehlini,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_977013385.1/ncbi_dataset/data/GCA_977013385.1/*_genomic.fna,yes,genome,Chromosome
GCA_963920755.1,Cartodere bifasciata,Latridiidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963920755.1/ncbi_dataset/data/GCA_963920755.1/*_genomic.fna,yes,genome,Chromosome
GCA_051362485.1,Catharsius molossus,Scarabaeidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_051362485.1/ncbi_dataset/data/GCA_051362485.1/*_genomic.fna,yes,genome,Chromosome
GCA_965642105.1,Catops nigricans,Leiodidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_965642105.1/*_genomic.fna,yes,genome,Chromosome
GCA_965287095.1,Cedrorum azoricus,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965287095.1/ncbi_dataset/data/GCA_965287095.1/*_genomic.fna,yes,genome,Chromosome
GCA_949128085.1,Cetonia aurata,Scarabaeidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_949128085.1/ncbi_dataset/data/GCA_949128085.1/*_genomic.fna,yes,genome,Chromosome
GCA_917834065.1,Ceutorhynchus assimilis,Curculionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_917834065.1/ncbi_dataset/data/GCA_917834065.1/*_genomic.fna,yes,genome,Chromosome
GCA_965178145.1,Ceutorhynchus obstrictus,Curculionidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965178145.1/ncbi_dataset/data/GCA_965178145.1/*_genomic.fna,yes,genome,Chromosome
GCA_965653155.1,Chaetocnema hortensis,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965653155.1/ncbi_dataset/data/GCA_965653155.1/*_genomic.fna,yes,genome,Chromosome
