tip_label,species,family,suborder,tier,source_path_on_grace,file_present_yet,busco_mode,assembly_level
GCA_964197645.1,Abax parallelepipedus,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964197645.1/ncbi_dataset/data/GCA_964197645.1/*_genomic.fna,yes,genome,Chromosome
GCA_030710515.1,Abscondita cerata,Lampyridae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
GCA_013368085.1,Abscondita terminalis,Lampyridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_013368085.1/ncbi_dataset/data/GCA_013368085.1/*_genomic.fna,yes,genome,Scaffold
GCA_963669975.1,Acanthoscelides obtectus,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963669975.1/ncbi_dataset/data/GCA_963669975.1/*_genomic.fna,yes,genome,Scaffold
GCA_964234755.1,Actenicerus siaelandicus,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964234755.1/ncbi_dataset/data/GCA_964234755.1/*_genomic.fna,yes,genome,Chromosome
GCA_977071005.1,Acupalpus dubius,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_977071005.1/ncbi_dataset/data/GCA_977071005.1/*_genomic.fna,yes,genome,Chromosome
GCA_981690485.1,Acupalpus parvulus,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_981690485.1/ncbi_dataset/data/GCA_981690485.1/*_genomic.fna,yes,genome,Chromosome
GCA_910592335.1,Adalia bipunctata,Coccinellidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_910592335.1/ncbi_dataset/data/GCA_910592335.1/*_genomic.fna,yes,genome,Chromosome
GCA_951802165.1,Adalia decempunctata,Coccinellidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_951802165.1/ncbi_dataset/data/GCA_951802165.1/*_genomic.fna,yes,genome,Chromosome
GCA_977014165.1,Adelopsella bosnica,Leiodidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_977014165.1/ncbi_dataset/data/GCA_977014165.1/*_genomic.fna,yes,genome,Chromosome
GCA_030264715.1,Adinopsis sp. GC000173,Staphylinidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Scaffold
GCA_009867245.1,Adranes taylori,Staphylinidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_009867245.1/*_genomic.fna,yes,genome,Scaffold
GCA_978045345.1,Aegialia arenaria,Scarabaeidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978045345.1/ncbi_dataset/data/GCA_978045345.1/*_genomic.fna,yes,genome,Chromosome
GCA_010014765.1,Aenictocupidus jacobsonorum,Staphylinidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_010014765.1/*_genomic.fna,yes,genome,Scaffold
GCA_024364675.1,Aethina tumida,Nitidulidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_024364675.1/*_genomic.fna,yes,genome,Chromosome
GCA_950111635.1,Agelastica alni,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_950111635.1/*_genomic.fna,yes,genome,Chromosome
GCA_947534325.1,Agonum fuliginosum,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_947534325.1/ncbi_dataset/data/GCA_947534325.1/*_genomic.fna,yes,genome,Chromosome
GCA_982290465.1,Agonum gracile,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_982290465.1/ncbi_dataset/data/GCA_982290465.1/*_genomic.fna,yes,genome,Chromosome
GCA_982345065.1,Agonum thoreyi,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_982345065.1/*_genomic.fna,yes,genome,Chromosome
GCA_978021445.1,Agonum viduum,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978021445.1/ncbi_dataset/data/GCA_978021445.1/*_genomic.fna,yes,genome,Chromosome
GCA_963921985.1,Agrilus biguttatus,Buprestidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963921985.1/ncbi_dataset/data/GCA_963921985.1/*_genomic.fna,yes,genome,Chromosome
GCA_947389935.1,Agrilus cyanescens,Buprestidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_947389935.1/ncbi_dataset/data/GCA_947389935.1/*_genomic.fna,yes,genome,Chromosome
GCA_029378335.1,Agrilus mali,Buprestidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_029378335.1/*_genomic.fna,yes,genome,Chromosome
GCA_000699045.2,Agrilus planipennis,Buprestidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_000699045.2/*_genomic.fna,yes,genome,Scaffold
GCA_044115295.2,Agriotes ferrugineipennis,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_044115295.2/ncbi_dataset/data/GCA_044115295.2/*_genomic.fna,yes,genome,Scaffold
GCA_965788545.1,Agriotes lineatus,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_965788545.1/ncbi_dataset/data/GCA_965788545.1/*_genomic.fna,yes,genome,Chromosome
GCA_041228545.2,Agriotes mancus,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_041228545.2/*_genomic.fna,yes,genome,Scaffold
GCA_040955265.2,Agriotes obscurus,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_040955265.2/*_genomic.fna,yes,genome,Scaffold
GCA_044115395.2,Agriotes pubescens,Elateridae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Scaffold
GCA_044115325.2,Agriotes sputator,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_044115325.2/ncbi_dataset/data/GCA_044115325.2/*_genomic.fna,yes,genome,Scaffold
GCA_929113105.1,Agrypnus murinus,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_929113105.1/ncbi_dataset/data/GCA_929113105.1/*_genomic.fna,yes,genome,Chromosome
GCA_009852465.1,Alaus oculatus,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_009852465.1/*_genomic.fna,yes,genome,Scaffold
GCA_003054995.1,Aleochara bilineata,Staphylinidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Scaffold
GCA_963978815.1,Aleochara curtula,Staphylinidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963978815.1/ncbi_dataset/data/GCA_963978815.1/*_genomic.fna,yes,genome,Chromosome
GCA_030264555.1,Aleochara sp. GC000083,Staphylinidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Scaffold
GCA_964028335.1,Altica lythri,Chrysomelidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964028335.1/ncbi_dataset/data/GCA_964028335.1/*_genomic.fna,yes,genome,Chromosome
GCA_973350105.1,Amara aenea,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_973350105.1/ncbi_dataset/data/GCA_973350105.1/*_genomic.fna,yes,genome,Chromosome
GCA_982446755.1,Amara aulica,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_982446755.1/*_genomic.fna,yes,genome,Chromosome
GCA_981560045.1,Amara convexiuscula,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_981560045.1/ncbi_dataset/data/GCA_981560045.1/*_genomic.fna,yes,genome,Chromosome
GCA_978120735.1,Amara familiaris,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_978120735.1/ncbi_dataset/data/GCA_978120735.1/*_genomic.fna,yes,genome,Chromosome
GCA_965279875.1,Amara ovata,Carabidae,Adephaga,1,/scratch/user/blackmon/tob/genomes/ncbi_dataset/data/GCA_965279875.1/*_genomic.fna,yes,genome,Chromosome
GCA_964234815.1,Ampedus sanguinolentus,Elateridae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_964234815.1/ncbi_dataset/data/GCA_964234815.1/*_genomic.fna,yes,genome,Chromosome
GCA_963170755.1,Amphimallon solstitiale,Scarabaeidae,Polyphaga,1,/scratch/user/blackmon/tob/genomes/scarab_existing/GCA_963170755.1/ncbi_dataset/data/GCA_963170755.1/*_genomic.fna,yes,genome,Chromosome
GCA_033557545.1,Amphistomus primonactus,Scarabaeidae,Polyphaga,1,NOT FOUND ON GRACE,pending: not found in scarab_existing or ncbi_dataset (needs pull),genome,Contig
